address,city,region,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,housing_type,other_srq,land_area
Längdhopparegången 7,Göteborgs kommun,Biskopsgården,127.0,5.0,6959.0,3000000.0,2022-04-20,4.0,23622.0,Lägenhet,,0
Källsprångsgatan 5,Göteborgs kommun,Guldheden,60.0,2.0,3325.0,4250000.0,2022-04-20,0.0,70833.0,Lägenhet,,0
Fjärde Långgatan 43,Göteborgs kommun,Linné,59.0,3.0,2998.0,3900000.0,2022-04-20,8.0,66102.0,Lägenhet,,0
Chalmersgatan 17A,Göteborgs kommun,Lorensberg - Vasastaden,107.0,3.0,4298.0,8375000.0,2022-04-20,8.0,78271.0,Lägenhet,,0
Nordenskiöldsgatan 30A,Göteborgs kommun,Linnéstaden,57.0,2.0,2861.0,4475000.0,2022-04-20,18.0,78509.0,Lägenhet,,0
Hälleflundregatan 18A,Göteborgs kommun,Fiskebäck,88.0,3.0,4572.0,6410000.0,2022-04-20,3.0,72841.0,Lägenhet,,0
Teknologgatan 5,Göteborgs kommun,Göteborg,31.0,2.0,1147.0,3100000.0,2022-04-20,4.0,100000.0,Lägenhet,,0
Askims stugby D107,Göteborgs kommun,Hult,,,,795000.0,2022-04-20,0.0,,Fritidshus,0.0,0
Kobergsgatan 25,Göteborgs kommun,Strömmensberg,56.5,2.0,3198.0,3200000.0,2022-04-20,,56637.0,Lägenhet,,0
Lilla Ingebäcksvägen 34B,Göteborgs kommun,Hisings Kärra,77.0,3.0,4571.0,2350000.0,2022-04-20,-2.0,30519.0,Lägenhet,,0
Fiolgatan 4,Göteborgs kommun,Ruddalen,91.5,4.0,6280.0,2650000.0,2022-04-20,-1.0,28962.0,Lägenhet,,0
Hallegatan 13,Göteborgs kommun,Centrala Hisingen Brämaregården,35.5,1.5,2903.0,2150000.0,2022-04-20,13.0,60563.0,Lägenhet,,0
Penselgatan 10,Göteborgs kommun,Kvillebäcken,55.3,2.0,3465.0,3275000.0,2022-04-20,13.0,59222.0,Lägenhet,,0
Seglaregatan 10,Göteborgs kommun,Majorna,53.0,2.0,3957.0,2625000.0,2022-04-20,17.0,49528.0,Lägenhet,,0
Stjärnbildsgatan 30,Göteborgs kommun,Bergsjön,119.0,4.0,8466.0,1820000.0,2022-04-20,4.0,15294.0,Radhus,0.0,0
Alfhemsgatan 5,Göteborgs kommun,Linnéstaden,36.5,1.0,1491.0,3150000.0,2022-04-20,3.0,86301.0,Lägenhet,,0
Sandbanksvägen 22,Göteborgs kommun,Skogome,34.2,1.0,2853.0,1525000.0,2022-04-20,,44591.0,Lägenhet,,0
Ånäsvägen 8a,Göteborgs kommun,Bagaregården,74.0,3.0,5391.0,4200000.0,2022-04-20,15.0,56757.0,Lägenhet,,0
Egnahemsvägen 16 A,Göteborgs kommun,Landala Egnahem,47.0,2.0,2630.0,3350000.0,2022-04-20,14.0,71277.0,Lägenhet,,0
