address,city,region,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,housing_type,other_srq,land_area
Lantmilsgatan 8,Göteborgs kommun,Kaverös,95.0,4.0,5680.0,4150000.0,2022-04-12,22.0,43684.0,Lägenhet,,0
Västra Gunnesgärde 41,Göteborgs kommun,Tuve,65.0,2.0,3875.0,2175000.0,2022-04-12,12.0,33462.0,Lägenhet,,0
Distansgatan 65,Göteborgs kommun,Flatås,76.5,3.0,3201.0,2850000.0,2022-04-12,10.0,37255.0,Lägenhet,,0
Drivhusgatan 19c,Göteborgs kommun,Fredriksdal,72.0,3.0,3765.0,3860000.0,2022-04-12,7.0,53611.0,Lägenhet,,0
Daltorpsgatan 44,Göteborgs kommun,Örgryte - Bö,167.0,7.0,,9700000.0,2022-04-12,9.0,58084.0,Radhus,54.0,0
Björnekärrsgatan 4A,Göteborgs kommun,Gamlestaden,61.0,3.0,3733.0,2800000.0,2022-04-12,4.0,45902.0,Lägenhet,,0
Nordostpassagen 17,Göteborgs kommun,Linné,64.4,2.0,2927.0,3600000.0,2022-04-12,15.0,55901.0,Lägenhet,,0
Olof Rudbecksgatan 17,Göteborgs kommun,Johanneberg,52.0,2.0,2936.0,3650000.0,2022-04-12,,70192.0,Lägenhet,,0
Steken 2D,Göteborgs kommun,Gårdstensbergen,81.0,4.0,3339.0,2200000.0,2022-04-12,5.0,27160.0,Lägenhet,,0
Gunnaredsterrassen 114,Göteborgs kommun,Angered,76.0,2.5,5258.0,2110000.0,2022-04-12,18.0,27763.0,Lägenhet,,0
Spektrumsgatan 7,Göteborgs kommun,Åkered,158.0,6.0,,6000000.0,2022-04-12,3.0,37975.0,Radhus,0.0,0
Böneredslyckan 7,Göteborgs kommun,Hisings Kärra,122.0,5.0,,5900000.0,2022-04-12,2.0,48361.0,Villa,0.0,0
Gräddgatan 7,Göteborgs kommun,Kallebäck,52.2,2.0,3124.0,2800000.0,2022-04-12,0.0,53640.0,Lägenhet,,0
Heidenstams Gata 11,Göteborgs kommun,Hisings Backa,80.0,3.0,5263.0,2100000.0,2022-04-12,5.0,26250.0,Lägenhet,,0
Gyllenkrooksgatan 15,Göteborgs kommun,Johanneberg,70.0,3.0,3871.0,5100000.0,2022-04-12,15.0,72857.0,Lägenhet,,0
Majtorpsgatan 69,Göteborgs kommun,Hisings Backa - Åketorp,193.0,8.0,,8000000.0,2022-04-12,24.0,41451.0,Villa,90.0,0
Anders Zornsgatan 23C,Göteborgs kommun,Örgryte Bö,58.0,2.0,3914.0,3600000.0,2022-04-12,11.0,62069.0,Lägenhet,,0
Smögengatan 15,Göteborgs kommun,Björkekärr,87.0,4.0,4396.0,5900000.0,2022-04-12,,67816.0,Lägenhet,,0
Hisingsgatan 23,Göteborgs kommun,Brämaregården,56.5,2.0,3447.0,2725000.0,2022-04-12,1.0,48230.0,Lägenhet,,0
Åkes väg 9,Göteborgs kommun,Olofstorp,211.0,7.0,,6760000.0,2022-04-12,6.0,32038.0,Villa,30.0,0
Övre Olskroksgatan 24,Göteborgs kommun,Bagaregården,53.0,2.0,3135.0,3100000.0,2022-04-12,,58491.0,Lägenhet,,0
Askåkersplan 12,Göteborgs kommun,Askim - Vita Fläcken,89.2,4.0,4829.0,3450000.0,2022-04-12,2.0,38677.0,Lägenhet,,0
Ebbe Lieberathsgatan 16C,Göteborgs kommun,Johanneberg Almedal,53.0,2.0,3007.0,3250000.0,2022-04-12,9.0,61321.0,Lägenhet,,0
Mariagatan 16C,Göteborgs kommun,Kungsladugård,51.4,2.0,3228.0,3400000.0,2022-04-12,14.0,66148.0,Lägenhet,,0
Östra Eriksbergsgatan 102,Göteborgs kommun,Eriksberg Norra Älvstranden,76.0,3.0,4232.0,5100000.0,2022-04-12,,67105.0,Lägenhet,,0
Växthusvägen 38,Göteborgs kommun,Hildedal,77.5,3.0,4500.0,4310000.0,2022-04-12,11.0,55613.0,Lägenhet,,0
"Bratteråsgatan 64, vån 6 / 7",Göteborgs kommun,Eriksberg,47.0,1.5,2666.0,3500000.0,2022-04-12,,74468.0,Lägenhet,,0
Skillnadsgatan 58 B,Göteborgs kommun,Örgryte,48.0,2.0,3484.0,3285000.0,2022-04-12,13.0,68438.0,Lägenhet,,0
Transistorgatan 33,Göteborgs kommun,Järnbrott,97.0,4.0,4065.0,4575000.0,2022-04-12,,47165.0,Lägenhet,,0
Arvid Lindmansgatan 21G,Göteborgs kommun,Tolered,53.5,2.0,3300.0,2300000.0,2022-04-12,2.0,42991.0,Lägenhet,,0
Kamgatan 9C,Göteborgs kommun,Utby,80.0,4.0,,4180000.0,2022-04-12,5.0,52250.0,Radhus,40.0,0
Asperögatan 8C,Göteborgs kommun,Majorna / Sandarna,47.0,2.0,3390.0,2800000.0,2022-04-11,12.0,59574.0,Lägenhet,,0
Björnekärrsgatan 6 C,Göteborgs kommun,Gamlestaden,58.0,2.0,3372.0,2400000.0,2022-04-11,7.0,41379.0,Lägenhet,,0
Bratteråsgatan 54,Göteborgs kommun,Eriksberg,98.0,4.0,4859.0,5910000.0,2022-04-11,14.0,60306.0,Lägenhet,,0
Munkebäcksgatan 48C,Göteborgs kommun,Kålltorp,35.0,1.0,2349.0,2050000.0,2022-04-11,4.0,58571.0,Lägenhet,,0
Bårdskäraregatan 8,Göteborgs kommun,Göteborg,62.0,5.0,,4350000.0,2022-04-11,4.0,70161.0,Villa,58.0,0
Lillekärr Norra 88,Göteborgs kommun,Hisings Kärra,64.4,2.0,3859.0,1810000.0,2022-04-11,7.0,28106.0,Lägenhet,,0
Tomtebacken 30,Göteborgs kommun,Torslanda - Säve,,,,1250000.0,2022-04-11,-10.0,,Tomt,0.0,0
Iskällareliden 7B,Göteborgs kommun,Örgryte,56.5,2.0,3496.0,3800000.0,2022-04-11,,67257.0,Lägenhet,,0
"Götaverksgatan 20, Vån 15 / 16",Göteborgs kommun,Lindholmen,62.0,2.0,3464.0,4460000.0,2022-04-11,12.0,71935.0,Lägenhet,,0
Ruskpricksvägen 8,Göteborgs kommun,Hällsvik,126.0,5.0,,9050000.0,2022-04-11,0.0,71825.0,Villa,0.0,0
Storhöjdsgatan 5B,Göteborgs kommun,Strömmensberg,46.5,2.0,2675.0,2800000.0,2022-04-11,,60215.0,Lägenhet,,0
Smedvägen 12,Göteborgs kommun,Hovås,205.0,,,15750000.0,2022-04-11,6.0,76829.0,Villa,0.0,0
Kaprifolgatan 81,Göteborgs kommun,Grimmered,111.0,5.0,,6150000.0,2022-04-11,-1.0,55405.0,Radhus,41.0,0
Norra Liden 8,Göteborgs kommun,Kungshöjd,85.0,3.0,4442.0,6000000.0,2022-04-11,10.0,70588.0,Lägenhet,,0
Kabelgatan 24,Göteborgs kommun,Majorna - Gråberget,56.5,2.0,4109.0,3265000.0,2022-04-11,13.0,57788.0,Lägenhet,,0
Eklandagatan 9,Göteborgs kommun,Lorensberg,66.0,2.0,2904.0,4300000.0,2022-04-11,0.0,65152.0,Lägenhet,,0
Norra Fjädermolnsgatan 27,Göteborgs kommun,Länsmansgården,76.0,3.5,4300.0,2650000.0,2022-04-11,6.0,34868.0,Lägenhet,,0
Blåeldsgatan 30,Göteborgs kommun,Grimmered - Ekebäck,110.0,3.0,,6400000.0,2022-04-11,-7.0,58182.0,Radhus,0.0,0
Vädursgatan 3,Göteborgs kommun,Gårda,33.0,1.0,1984.0,2525000.0,2022-04-11,12.0,76515.0,Lägenhet,,0
Fiolgatan 10,Göteborgs kommun,Ruddalen,69.0,3.0,4890.0,2750000.0,2022-04-11,10.0,39855.0,Lägenhet,,0
Arosgatan 10,Göteborgs kommun,Göteborg,123.0,5.0,,7900000.0,2022-04-11,,64228.0,Villa,80.0,0
Gröna gatan 43,Göteborgs kommun,Majorna,82.7,3.0,5018.0,3885000.0,2022-04-11,5.0,46977.0,Lägenhet,,0
Mårbackagatan 2,Göteborgs kommun,Backa,42.7,1.0,3268.0,1550000.0,2022-04-11,,36300.0,Lägenhet,,0
Kvadrantgatan 40,Göteborgs kommun,Bergsjön,110.5,4.0,8554.0,1600000.0,2022-04-11,10.0,14480.0,Lägenhet,,0
Barometergatan 33,Göteborgs kommun,Länsmansgården,74.3,3.0,4179.0,1550000.0,2022-04-11,4.0,20861.0,Lägenhet,,0
Långängen 1B,Göteborgs kommun,Centrala Hisingen,44.1,2.0,2766.0,2500000.0,2022-04-10,,56689.0,Lägenhet,,0
Bergkullavägen 69,Göteborgs kommun,Olofstorp,67.0,2.0,4536.0,2150000.0,2022-04-10,0.0,32090.0,Lägenhet,,0
Femkampsgatan 2A,Göteborgs kommun,Lunden,54.0,2.0,4075.0,2750000.0,2022-04-10,10.0,50926.0,Lägenhet,,0
Ebbe Lieberathsgatan 16B,Göteborgs kommun,Johanneberg Almedal,34.0,1.0,2049.0,2500000.0,2022-04-10,5.0,73529.0,Lägenhet,,0
Alfhemsgatan 3,Göteborgs kommun,Linnéstaden,106.0,3.0,4015.0,8800000.0,2022-04-10,13.0,83019.0,Lägenhet,,0
Rustmästaregatan 5,Göteborgs kommun,Kviberg,70.0,3.0,4016.0,3400000.0,2022-04-10,7.0,48571.0,Lägenhet,,0
Arvesgärde 2,Göteborgs kommun,Tuve,62.0,2.0,4714.0,1900000.0,2022-04-10,6.0,30645.0,Lägenhet,,0
Kastellgatan 13B,Göteborgs kommun,Linnéstaden,37.0,1.0,1557.0,3560000.0,2022-04-10,8.0,96216.0,Lägenhet,,0
Lugnet 6 B,Göteborgs kommun,Kungsladugård,53.0,2.0,3386.0,3800000.0,2022-04-10,6.0,71698.0,Lägenhet,,0
Persgatan 11B,Göteborgs kommun,Lunden,53.0,2.0,2857.0,3200000.0,2022-04-09,,60377.0,Lägenhet,,0
Norra Gubberogatan 11,Göteborgs kommun,Olskroken,38.0,1.0,2642.0,2550000.0,2022-04-09,11.0,67105.0,Lägenhet,,0
Lövskogsgatan 2C,Göteborgs kommun,Norra Guldheden,36.0,1.0,1709.0,2750000.0,2022-04-09,11.0,76389.0,Lägenhet,,0
Kransen 2A,Göteborgs kommun,Strömmensberg,67.2,2.0,4973.0,2400000.0,2022-04-09,9.0,35714.0,Lägenhet,,0
Sjöbodsvägen 1,Göteborgs kommun,Torslanda - Hällsvik,123.0,3.0,,9000000.0,2022-04-09,,73171.0,Villa,6.0,0
Landamäresgatan 12,Göteborgs kommun,Tolered,99.0,,,5150000.0,2022-04-09,10.0,52020.0,Villa,56.0,0
Fjällgatan 3G,Göteborgs kommun,Masthugget,66.0,2.0,3800.0,4675000.0,2022-04-09,18.0,70833.0,Lägenhet,,0
Sagogången 8,Göteborgs kommun,Hisings Backa,63.5,2.0,3821.0,1900000.0,2022-04-09,3.0,29921.0,Lägenhet,,0
Kobbeslätten 6,Göteborgs kommun,Askim - Sisjön,54.0,2.0,3522.0,2910000.0,2022-04-09,10.0,53889.0,Lägenhet,,0
Ebbe Lieberathsgatan 16A,Göteborgs kommun,Johanneberg - Almedal,53.5,2.0,3030.0,3200000.0,2022-04-09,7.0,59813.0,Lägenhet,,0
Kungsgatan 7 B,Göteborgs kommun,Kungshöjd,71.0,3.0,4010.0,5300000.0,2022-04-09,0.0,74648.0,Lägenhet,,0
Erik Dahlbergsgatan 28 B,Göteborgs kommun,Vasastaden,55.0,2.0,3052.0,4800000.0,2022-04-09,15.0,87273.0,Lägenhet,,0
Strömstarevägen 21B,Göteborgs kommun,Knipared - Olofstorp,92.0,4.0,,4600000.0,2022-04-08,0.0,50000.0,Villa,8.0,0
Kastellgatan 17B,Göteborgs kommun,Linnéstaden,39.0,1.0,2397.0,4050000.0,2022-04-08,17.0,103846.0,Lägenhet,,0
Guldpokalsgatan 8D,Göteborgs kommun,Centrala Hisingen,49.0,2.0,3516.0,2150000.0,2022-04-08,5.0,43878.0,Lägenhet,,0
Kungsladugårdsgatan 15B,Göteborgs kommun,Kungsladugård,66.1,3.0,4021.0,4800000.0,2022-04-08,9.0,72617.0,Lägenhet,,0
Bohusgatan 24,Göteborgs kommun,Centrum - Heden,43.5,2.0,2875.0,3500000.0,2022-04-08,,80460.0,Lägenhet,,0
Stobéegatan 20C,Göteborgs kommun,Kålltorp,78.0,3.0,5091.0,4550000.0,2022-04-08,,58333.0,Lägenhet,,0
Fjärde Långgatan 1,Göteborgs kommun,Linnéstaden,54.0,2.0,2168.0,3600000.0,2022-04-08,-5.0,66667.0,Lägenhet,,0
Nilssonsberg 8,Göteborgs kommun,Linnéstaden,73.0,3.0,4259.0,5100000.0,2022-04-08,,69863.0,Lägenhet,,0
Monsungatan 71,Göteborgs kommun,Eriksberg,81.0,3.0,3546.0,6500000.0,2022-04-08,12.0,80247.0,Lägenhet,,0
Väderstrecksgatan 18,Göteborgs kommun,Biskopsgården,82.0,5.0,,3200000.0,2022-04-08,11.0,39024.0,Radhus,25.0,0
Gamlestads Brygga 17,Göteborgs kommun,Gamlestaden,73.0,3.0,3688.0,4550000.0,2022-04-08,0.0,62329.0,Lägenhet,,0
Korngången 1,Göteborgs kommun,Fräntorp,91.0,5.0,,5500000.0,2022-04-08,10.0,60440.0,Radhus,32.0,0
Seglaregatan 17,Göteborgs kommun,Majorna,85.2,3.0,5811.0,3675000.0,2022-04-08,5.0,43134.0,Lägenhet,,0
Eklandagatan 45B,Göteborgs kommun,Johanneberg,47.0,1.5,2730.0,3175000.0,2022-04-08,23.0,67553.0,Lägenhet,,0
Nordostpassagen 57,Göteborgs kommun,Linné,60.0,2.0,3289.0,3650000.0,2022-04-08,8.0,60833.0,Lägenhet,,0
Vårlöksgatan 5G,Göteborgs kommun,Kvillebäcken,52.0,2.0,3513.0,2400000.0,2022-04-08,,46154.0,Lägenhet,,0
Liedstrandsgatan 12,Göteborgs kommun,Lunden,49.0,2.0,2786.0,3200000.0,2022-04-08,0.0,65306.0,Lägenhet,,0
Kopparmyntsgatan 7,Göteborgs kommun,Högsbo,55.0,2.0,4292.0,2510000.0,2022-04-08,7.0,45636.0,Lägenhet,,0
Kavaljersgatan 28,Göteborgs kommun,Hisings Backa,90.0,4.0,6126.0,2400000.0,2022-04-08,5.0,26667.0,Lägenhet,,0
Iskällareliden 5B,Göteborgs kommun,Örgryte,56.0,2.0,3465.0,3700000.0,2022-04-08,10.0,66071.0,Lägenhet,,0
Harald Hjärnesgatan 13F,Göteborgs kommun,Kvillebäcken,51.0,2.0,4003.0,2050000.0,2022-04-08,3.0,40196.0,Lägenhet,,0
Östanvindsgatan 3B,Göteborgs kommun,Centrala Hisingen,42.0,2.0,2714.0,2050000.0,2022-04-08,8.0,48810.0,Lägenhet,,0
Haga Nygata 26,Göteborgs kommun,Haga,32.0,1.0,2088.0,3235000.0,2022-04-08,18.0,101094.0,Lägenhet,,0
Kapplandsgatan  28,Göteborgs kommun,Högsbo,66.0,3.0,4076.0,2690000.0,2022-04-08,0.0,40758.0,Lägenhet,,0
Solhagagatan 84,Göteborgs kommun,Hisings Kärra,76.0,3.0,5458.0,1990000.0,2022-04-08,11.0,26184.0,Lägenhet,,0
Bratteråsgatan 60,Göteborgs kommun,Eriksberg,61.0,2.0,3153.0,3900000.0,2022-04-08,3.0,63934.0,Lägenhet,,0
Seglaregatan 35,Göteborgs kommun,Majorna,37.3,1.0,3350.0,2200000.0,2022-04-08,10.0,58981.0,Lägenhet,,0
Sjömilsgatan 23,Göteborgs kommun,Flatås,61.5,2.0,3256.0,2450000.0,2022-04-08,7.0,39837.0,Lägenhet,,0
Förstamajgatan 20,Göteborgs kommun,Kortedala,65.5,3.0,3888.0,2100000.0,2022-04-08,,32061.0,Lägenhet,,0
A R Lorents gata 61,Göteborgs kommun,Klippan,111.0,4.0,5726.0,5450000.0,2022-04-08,-1.0,49099.0,Lägenhet,,0
Myntgatan 13A,Göteborgs kommun,Centrala Hisingen,54.0,2.0,3688.0,2320000.0,2022-04-08,-3.0,42963.0,Lägenhet,,0
Rubingatan 1,Göteborgs kommun,Tynnered,79.5,3.0,4778.0,2370000.0,2022-04-08,3.0,29811.0,Lägenhet,,0
Lodjursstråket 1,Göteborgs kommun,Lindholmen,92.5,3.0,5945.0,10500000.0,2022-04-08,-4.0,113514.0,Lägenhet,,0
Måns Bryntessonsgatan 19 A,Göteborgs kommun,Gamlestaden,51.0,2.0,3795.0,2200000.0,2022-04-08,5.0,43137.0,Lägenhet,,0
Stabbegatan 55,Göteborgs kommun,Björkekärr,53.0,2.0,3624.0,2400000.0,2022-04-07,9.0,45283.0,Lägenhet,,0
"Monsungatan 42, Takvåning",Göteborgs kommun,Eriksberg,43.0,3.0,4389.0,7250000.0,2022-04-07,5.0,83815.0,Lägenhet,,0
"Lodjursstråket 1, Vån 27",Göteborgs kommun,Lindholmen,79.0,3.0,5368.0,7490000.0,2022-04-07,0.0,94810.0,Lägenhet,,0
Hugo Hammars gata 6,Göteborgs kommun,Kyrkbyn,94.0,5.0,,4850000.0,2022-04-07,8.0,51596.0,Villa,63.0,0
Bisittaregatan 1A,Göteborgs kommun,Kålltorp,21.0,6.0,5922.0,7900000.0,2022-04-07,,63710.0,Lägenhet,,0
Vänersborgsgatan 1 B,Göteborgs kommun,Gamlestaden,57.0,2.0,3311.0,3050000.0,2022-04-07,18.0,53509.0,Lägenhet,,0
Iglatjärnsvägen 2,Göteborgs kommun,Olofstorp,92.0,5.0,,3700000.0,2022-04-07,24.0,40217.0,Villa,0.0,0
Väderskiftesgatan 16,Göteborgs kommun,Göteborg,98.0,5.0,,2990000.0,2022-04-07,7.0,30510.0,Radhus,0.0,0
Träringen 62,Göteborgs kommun,Björkekärr,64.0,3.0,4317.0,3500000.0,2022-04-07,17.0,54688.0,Lägenhet,,0
Storhöjdsgatan 15,Göteborgs kommun,Strömmensberg,49.0,2.0,4575.0,2550000.0,2022-04-07,,52041.0,Lägenhet,,0
Arsenalsgatan 10A,Göteborgs kommun,Kungshöjd,142.0,4.0,6258.0,11000000.0,2022-04-07,13.0,77465.0,Lägenhet,,0
Storhöjdsgatan 12,Göteborgs kommun,Strömmensberg,42.9,2.0,2281.0,2580000.0,2022-04-07,3.0,60140.0,Lägenhet,,0
Brottkärrsvägen 9,Göteborgs kommun,Hovås,39.0,1.0,2457.0,2475000.0,2022-04-07,5.0,63462.0,Lägenhet,,0
Solventilsgatan 7,Göteborgs kommun,Kvillebäcken,52.0,2.0,3338.0,2710000.0,2022-04-07,-3.0,52115.0,Lägenhet,,0
Jörgensgatan 6B,Göteborgs kommun,Bagaregården,65.9,2.0,3190.0,3290000.0,2022-04-07,12.0,49924.0,Lägenhet,,0
Halmgatan 11,Göteborgs kommun,Hisings Backa,184.0,9.0,,7550000.0,2022-04-07,1.0,41033.0,Villa,119.0,0
Trollgången 78,Göteborgs kommun,Sörbackens Koloniförening,,,,520000.0,2022-04-07,9.0,,Fritidshus,0.0,0
Gåsmossen 39,Göteborgs kommun,Askim,123.0,6.0,,7725000.0,2022-04-07,24.0,62805.0,Radhus,58.0,0
Ångaren Ernas gata 1,Göteborgs kommun,Sannegården,62.0,2.0,3895.0,3675000.0,2022-04-07,6.0,59274.0,Lägenhet,,0
Tomtegatan 3,Göteborgs kommun,Centrum,58.0,2.0,5972.0,1995000.0,2022-04-07,0.0,34397.0,Lägenhet,,0
Brunnehagen 12,Göteborgs kommun,Tuve,80.0,3.5,5135.0,2520000.0,2022-04-07,7.0,31500.0,Lägenhet,,0
Sergelsgatan 4E,Göteborgs kommun,Lunden,37.0,1.0,2616.0,2350000.0,2022-04-07,,63514.0,Lägenhet,,0
Stobéegatan 10B,Göteborgs kommun,Kålltorp,40.0,1.0,2074.0,2350000.0,2022-04-07,0.0,58750.0,Lägenhet,,0
Norra Skeppspromenaden 6,Göteborgs kommun,Eriksberg,74.0,2.0,4179.0,4300000.0,2022-04-07,8.0,58108.0,Lägenhet,,0
Stampgatan 60A,Göteborgs kommun,Stampen,96.0,4.0,4015.0,5280000.0,2022-04-07,18.0,55000.0,Lägenhet,,0
Önskevädersgatan 17,Göteborgs kommun,Biskopsgården,77.0,4.0,4862.0,1820000.0,2022-04-07,-9.0,23636.0,Lägenhet,,0
Ebbe Lieberathsgatan 16C,Göteborgs kommun,Johanneberg - Almedal,41.0,1.5,2324.0,3060000.0,2022-04-07,,74634.0,Lägenhet,,0
Trumpetgatan 10,Göteborgs kommun,Frölunda,65.5,2.0,4251.0,3050000.0,2022-04-07,-1.0,46565.0,Lägenhet,,0
Anna Branzells Gata 8,Göteborgs kommun,Kviberg,94.5,4.0,5189.0,4800000.0,2022-04-07,5.0,50794.0,Lägenhet,,0
Karl Staaffsgatan 14A,Göteborgs kommun,Slättadamm,53.0,2.0,3269.0,1940000.0,2022-04-07,18.0,36604.0,Lägenhet,,0
Kobbeslätten 10,Göteborgs kommun,Askim,74.0,3.0,4408.0,3650000.0,2022-04-07,,49324.0,Lägenhet,,0
Legendgatan 23,Göteborgs kommun,Hisings Backa,63.0,2.0,4630.0,2300000.0,2022-04-07,10.0,36508.0,Lägenhet,,0
Sveagatan 2 C,Göteborgs kommun,Linnéstaden,58.0,2.0,1924.0,5500000.0,2022-04-07,20.0,94828.0,Lägenhet,,0
Nordostpassagen 31,Göteborgs kommun,Linnéstaden,85.0,4.0,3723.0,4850000.0,2022-04-07,4.0,57059.0,Lägenhet,,0
Ekebygatan 8,Göteborgs kommun,Hisings Backa,74.3,3.0,5150.0,2100000.0,2022-04-07,5.0,28264.0,Lägenhet,,0
Långängen 1A,Göteborgs kommun,Kvillebäcken,43.8,2.0,2744.0,2390000.0,2022-04-07,9.0,54566.0,Lägenhet,,0
Åsbacken 30,Göteborgs kommun,Billdal,72.0,3.0,5045.0,3500000.0,2022-04-07,10.0,48611.0,Lägenhet,,0
Rundbäcksgatan 5,Göteborgs kommun,Kvillebäcken,38.5,1.5,2363.0,2200000.0,2022-04-07,10.0,57143.0,Lägenhet,,0
Risåsgatan 5,Göteborgs kommun,Linnéstaden,77.0,2.0,3321.0,6080000.0,2022-04-07,6.0,78961.0,Lägenhet,,0
Klyfteråsen 15,Göteborgs kommun,Billdal - Skintebo,135.0,5.0,,6100000.0,2022-04-07,-3.0,45185.0,Radhus,18.0,0
Gunnel Weinås väg 17,Göteborgs kommun,Kviberg,121.0,4.0,,6300000.0,2022-04-07,15.0,52066.0,Villa,8.0,0
Fiolgatan 4,Göteborgs kommun,Ruddalen,69.3,3.0,4950.0,2285000.0,2022-04-07,5.0,32973.0,Lägenhet,,0
Rositas gata 2,Göteborgs kommun,Eriksberg,68.0,3.0,2038.0,4750000.0,2022-04-07,6.0,69853.0,Lägenhet,,0
Norumsgärde 110,Göteborgs kommun,Tuve,108.0,5.0,,4990000.0,2022-04-07,26.0,46204.0,Radhus,42.0,0
Fritiof Anderssons Gata 7,Göteborgs kommun,Eriksberg,63.1,2.0,2841.0,3500000.0,2022-04-07,3.0,55468.0,Lägenhet,,0
Cederflychts gata 9,Göteborgs kommun,Hisings Backa,93.4,4.0,6552.0,2300000.0,2022-04-06,10.0,24625.0,Lägenhet,,0
"Olivedalsgatan 10, lgh 1",Göteborgs kommun,Linné,105.0,4.0,2551.0,11250000.0,2022-04-06,2.0,107143.0,Lägenhet,,0
Lövslingan 20,Göteborgs kommun,Lövgärdet,,,,425000.0,2022-04-06,-19.0,,Fritidshus,0.0,0
Toredalsgatan 38,Göteborgs kommun,Centrala Hisingen,130.0,5.0,,5500000.0,2022-04-06,7.0,42308.0,Villa,76.0,0
Solhagagatan 118,Göteborgs kommun,Hisings Kärra,91.9,4.0,6237.0,2950000.0,2022-04-06,9.0,32100.0,Lägenhet,,0
Vingagatan 6A,Göteborgs kommun,Majorna,55.0,2.0,3438.0,3625000.0,2022-04-06,23.0,65909.0,Lägenhet,,0
Östra Skansgatan 8B,Göteborgs kommun,Haga,66.3,2.0,5074.0,4200000.0,2022-04-06,9.0,63348.0,Lägenhet,,0
Molnvädersgatan 20,Göteborgs kommun,Biskopsgården,40.0,1.0,2794.0,1160000.0,2022-04-06,18.0,29000.0,Lägenhet,,0
Guldringen 7,Göteborgs kommun,Västra Frölunda,45.0,1.5,2989.0,2000000.0,2022-04-06,19.0,44444.0,Lägenhet,,0
Mandolingatan 11,Göteborgs kommun,Ruddalen,46.5,2.0,2499.0,1950000.0,2022-04-06,10.0,41935.0,Lägenhet,,0
Lillekärr Norra 30,Göteborgs kommun,Hisings Kärra,30.9,1.0,2421.0,1300000.0,2022-04-06,-4.0,42071.0,Lägenhet,,0
Åbranten 9,Göteborgs kommun,Angered,155.0,6.0,,5400000.0,2022-04-06,9.0,34839.0,Villa,0.0,0
Hammarvägen 336,Göteborgs kommun,Näset,131.0,5.0,,6770000.0,2022-04-06,4.0,51679.0,Radhus,0.0,0
Litteraturgatan 214,Göteborgs kommun,Hisings Backa,76.0,3.0,4495.0,2970000.0,2022-04-06,3.0,39079.0,Lägenhet,,0
Långängen 7,Göteborgs kommun,Kvillebäcken,57.0,2.0,3069.0,2860000.0,2022-04-06,2.0,50175.0,Lägenhet,,0
Önneredsvägen 115,Göteborgs kommun,Önnered,80.0,3.0,5266.0,4000000.0,2022-04-06,0.0,50000.0,Lägenhet,,0
Vattugatan 5,Göteborgs kommun,Masthugget,33.4,1.5,2378.0,2425000.0,2022-04-06,2.0,72605.0,Lägenhet,,0
Piggvarsgatan 29,Göteborgs kommun,Källängen,87.0,4.0,,6300000.0,2022-04-06,12.0,72414.0,Radhus,0.0,0
Månskäregatan 3B,Göteborgs kommun,Örgryte,56.0,2.0,3617.0,3650000.0,2022-04-06,4.0,65179.0,Lägenhet,,0
Storhöjdsgatan 12,Göteborgs kommun,Strömmensberg,54.0,2.0,2890.0,3150000.0,2022-04-06,15.0,58333.0,Lägenhet,,0
Sofiagatan 50C,Göteborgs kommun,Strömmensberg,43.5,2.0,3290.0,2500000.0,2022-04-06,,57471.0,Lägenhet,,0
Nordreviksvägen 7,Göteborgs kommun,Billdal - Västra Lindås,181.0,6.0,,11300000.0,2022-04-06,8.0,62431.0,Villa,60.0,0
Eklandagatan 41A,Göteborgs kommun,Johanneberg,38.4,1.0,1973.0,2900000.0,2022-04-06,8.0,75521.0,Lägenhet,,0
Lilla drottninggatan 4D,Göteborgs kommun,Inom Vallgraven,50.0,2.0,3100.0,3800000.0,2022-04-06,3.0,76000.0,Lägenhet,,0
Institutsgatan 7,Göteborgs kommun,Lundby,166.0,6.0,,6100000.0,2022-04-06,14.0,36747.0,Villa,79.0,0
Övre Hallegatan 18,Göteborgs kommun,Ramberget,94.4,4.0,6326.0,3990000.0,2022-04-06,11.0,42267.0,Lägenhet,,0
Brunnehagen 27,Göteborgs kommun,Tuve,62.0,2.0,3629.0,1960000.0,2022-04-06,,31613.0,Lägenhet,,0
Nordhemsgatan 66C,Göteborgs kommun,Linnéstaden,94.0,4.0,5362.0,8220000.0,2022-04-06,7.0,87447.0,Lägenhet,,0
Värslevägen 31,Göteborgs kommun,Vita Fläcken,37.3,1.5,2478.0,1840000.0,2022-04-06,-3.0,49330.0,Lägenhet,,0
Bronsfyndsgatan 33,Göteborgs kommun,Kannebäck,98.0,5.0,,6600000.0,2022-04-06,22.0,67347.0,Radhus,14.0,0
Strandridaregatan 18P,Göteborgs kommun,Kungsladugård,36.7,1.0,1982.0,2800000.0,2022-04-06,23.0,76294.0,Lägenhet,,0
Skalldalsvägen 81,Göteborgs kommun,Hovås,127.0,5.0,,7400000.0,2022-04-06,18.0,58268.0,Radhus,0.0,0
Stekastigen 12,Göteborgs kommun,Agnesberg,60.5,2.0,4689.0,1120000.0,2022-04-06,25.0,18512.0,Lägenhet,,0
Famngatan 30,Göteborgs kommun,Högsbo,59.0,2.0,3847.0,2980000.0,2022-04-06,0.0,50508.0,Lägenhet,,0
Nordostpassagen 23,Göteborgs kommun,Linnéstaden,82.0,3.0,3585.0,4930000.0,2022-04-06,13.0,60122.0,Lägenhet,,0
