address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude
Stafettgatan 4A,Lägenhet,Lunden,Göteborgs kommun,34.0,1.0,2424.0,1950000,2022-08-10,0.0,57353.0,0.0,0.0,57.7076694,12.0003871
Långängen 8A,Lägenhet,Kvillebäcken,Göteborgs kommun,39.0,1.0,2852.0,2400000,2022-08-09,0.0,61538.0,0.0,0.0,57.7217393,11.9491147
Transistorgatan 19,Lägenhet,Frölunda,Göteborgs kommun,85.0,3.0,3515.0,4250000,2022-08-09,13.0,50000.0,0.0,0.0,57.6573688,11.919666
Topasgatan 85,Lägenhet,Tynnered,Göteborgs kommun,49.0,1.5,2737.0,1925000,2022-08-09,4.0,39286.0,0.0,0.0,57.6498491,11.9052795
Lillekärr Norra 8,Lägenhet,Hisings Kärra,Göteborgs kommun,75.9,3.0,4914.0,1875000,2022-08-09,-6.0,24704.0,0.0,0.0,57.7971667,11.9901499
Klyfteråsen 62,Lägenhet,Skintebo,Göteborgs kommun,54.0,2.0,3975.0,2160000,2022-08-09,3.0,40000.0,0.0,0.0,57.5949403,11.938546350270272
Övralidsgatan 5,Lägenhet,Hisings Backa,Göteborgs kommun,79.0,3.0,4793.0,1775000,2022-08-09,0.0,22468.0,0.0,0.0,57.7543682,11.975449
Ebbe Lieberathsgatan 14B,Lägenhet,Johanneberg Almedal,Göteborgs kommun,63.0,2.0,3273.0,3490000,2022-08-09,0.0,55397.0,0.0,0.0,57.6820641,11.9991447
Astris Gata 96,Lägenhet,Eriksberg,Göteborgs kommun,59.0,2.0,3372.0,2850000,2022-08-09,2.0,48305.0,0.0,0.0,57.6993129,11.9025954
Grafiska vägen 4A,Lägenhet,Södra Centrum,Göteborgs kommun,33.0,1.0,2198.0,2250000,2022-08-09,0.0,68182.0,0.0,0.0,57.6817666,12.0023971
Barbro Hörbergs Gata 7,Lägenhet,Örgryte Torp,Göteborgs kommun,81.0,3.0,2955.0,5750000,2022-08-09,0.0,70988.0,0.0,0.0,57.6991589,12.0161251
Andra Långgatan 28,Lägenhet,Linnéstaden,Göteborgs kommun,81.0,3.0,3185.0,3980000,2022-08-09,0.0,49136.0,0.0,0.0,57.6987778,11.9456727
Rustmästaregatan 5,Lägenhet,Kviberg,Göteborgs kommun,55.0,2.0,3834.0,2500000,2022-08-09,9.0,45455.0,0.0,0.0,57.73187735,12.024082999999996
Nordostpassagen 59,Lägenhet,Linné,Göteborgs kommun,83.0,3.0,4263.0,4600000,2022-08-09,8.0,55422.0,0.0,0.0,57.6926855,11.947316
Träringen 13,Lägenhet,Björkekärr,Göteborgs kommun,54.0,2.0,3755.0,2380000,2022-08-09,0.0,44074.0,0.0,0.0,57.714211,12.0538778
Stockholmsgatan 40J,Lägenhet,Bagaregården,Göteborgs kommun,36.9,1.0,2278.0,2200000,2022-08-09,13.0,59621.0,0.0,0.0,57.7235123,12.0088676
Karlatornet (Lodjursstråket 1),Lägenhet,Lindholmen,Göteborgs kommun,105.5,4.0,6773.0,13000000,2022-08-09,0.0,123223.0,0.0,0.0,,
Chalmersgatan 27B,Lägenhet,Lorensberg,Göteborgs kommun,27.0,1.0,1305.0,2725000,2022-08-09,21.0,100926.0,0.0,0.0,57.6979797,11.9754751
Lärjeheds fritidsområde stuga nr 27,Fritidshus,Linnarhult,Göteborgs kommun,40.0,2.0,,550000,2022-08-09,12.0,13750.0,410.0,45.0,,
Föreningsgatan 16A,Lägenhet,Vasastaden,Göteborgs kommun,65.0,2.0,3992.0,3275000,2022-08-09,10.0,50385.0,0.0,0.0,57.6952346,11.9662602
Cederflychts gata 7,Lägenhet,Hisings Backa,Göteborgs kommun,93.4,4.0,6783.0,2000000,2022-08-09,0.0,21413.0,0.0,0.0,57.75275395,11.988996209764409
Ebbe Lieberathsgatan 14B,Lägenhet,Södra Centrum,Göteborgs kommun,66.0,2.0,3372.0,3950000,2022-08-09,0.0,59848.0,0.0,0.0,57.6820641,11.9991447
Gustavsgatan 53,Lägenhet,Bagaregårde,Göteborgs kommun,57.0,2.0,3336.0,2295000,2022-08-09,0.0,40263.0,0.0,0.0,57.72371395,12.017605555534352
Monsungatan 32,Lägenhet,Eriksberg,Göteborgs kommun,37.0,1.5,2130.0,2540000,2022-08-09,4.0,68649.0,0.0,0.0,57.6984746,11.9084647
Kvarnkullevägen 2D,Lägenhet,Torslanda,Göteborgs kommun,77.5,3.0,4028.0,2900000,2022-08-08,-3.0,37419.0,0.0,0.0,57.7232492,11.7710619
Kvarnkullevägen 4L,Lägenhet,Torslanda,Göteborgs kommun,61.0,2.0,3206.0,2365000,2022-08-08,-5.0,38770.0,0.0,0.0,57.7232492,11.7710619
Kobergsgatan 24,Lägenhet,Strömmensberg,Göteborgs kommun,47.0,2.0,3303.0,2550000,2022-08-08,2.0,54255.0,0.0,0.0,57.7205258,12.0154565
Smörslottsgatan 61,Lägenhet,Björkekärr,Göteborgs kommun,66.1,2.0,4592.0,3050000,2022-08-08,9.0,46142.0,0.0,0.0,57.7143983,12.0557054
Astris Gata 86,Lägenhet,Eriksberg,Göteborgs kommun,42.0,1.0,2567.0,2350000,2022-08-08,3.0,55952.0,0.0,0.0,57.6993113,11.9036613
Bratteråsgatan 40,Lägenhet,Eriksberg,Göteborgs kommun,78.0,3.0,4256.0,7100000,2022-08-08,-3.0,91026.0,0.0,0.0,57.7036654,11.9146426
Bratteråsbacken 35,Lägenhet,Eriksberg,Göteborgs kommun,43.0,2.0,3189.0,2700000,2022-08-08,0.0,62791.0,0.0,0.0,57.70258325,11.915994550000002
Övre Djupedalsgatan 11D, lgh 3,Lägenhet,Linnéstaden,Göteborgs kommun,27.0,1.0,1462.0,2600000,2022-08-08,0.0,96296.0,0.0,0.0,,
Rustmästaregatan 23,Lägenhet,Kviberg,Göteborgs kommun,55.0,2.0,3177.0,2500000,2022-08-08,9.0,45455.0,0.0,0.0,57.7329993,12.0270756
Anders Personsgatan 9,Lägenhet,Nya Gårda,Göteborgs kommun,101.0,3.0,5856.0,6000000,2022-08-08,-6.0,59406.0,0.0,0.0,57.7112355,11.9953616
Sandlidsvägen 1B,Radhus,Hisings Backa Skogome,Göteborgs kommun,105.0,4.0,,3955000,2022-08-08,13.0,37667.0,341.0,18.0,57.7652175,11.9466223
Kastellgatan 9,Lägenhet,Linnéstaden,Göteborgs kommun,34.0,1.5,2292.0,3200000,2022-08-08,5.0,94118.0,0.0,0.0,57.6941708,11.9550848
Penselgatan 6,Lägenhet,Centrala Hisingen Kvillebäcken,Göteborgs kommun,76.5,3.0,4641.0,3650000,2022-08-07,-3.0,47712.0,0.0,0.0,57.7236429,11.9492663
Gibraltargatan 38,Lägenhet,Johanneberg,Göteborgs kommun,80.0,3.0,4870.0,4300000,2022-08-07,3.0,53750.0,0.0,0.0,57.6893558,11.9810027
Valnötsgatan 8C,Villa,Hagen,Göteborgs kommun,145.0,7.0,,9000000,2022-08-07,,62069.0,540.1,74.0,57.6744549,11.87909517535294
Hovås Allé 40,Lägenhet,Hovås,Göteborgs kommun,67.0,3.0,4493.0,3750000,2022-08-07,-1.0,55970.0,0.0,0.0,57.60194355,11.955632477254746
Bååthsgatan 23,Villa,Kvillebäcken,Göteborgs kommun,160.0,7.0,,5550000,2022-08-07,-4.0,34688.0,518.1,60.0,57.7261809,11.93575035
Lövskogsgatan 16,Lägenhet,Norra Guldheden,Göteborgs kommun,56.5,2.0,3401.0,3560000,2022-08-06,11.0,63009.0,0.0,0.0,57.6895046,11.9614967
Vidblicksgatan 1,Lägenhet,Nedre Johanneberg,Göteborgs kommun,121.0,5.0,5773.0,6300000,2022-08-06,-15.0,52066.0,0.0,0.0,57.6916483,11.978688669999991
Arkivgatan 6,Lägenhet,Lorensberg,Göteborgs kommun,43.0,1.5,2295.0,3800000,2022-08-06,9.0,88372.0,0.0,0.0,57.6972032,11.9767723
Turkosgatan 33,Lägenhet,Tynnered,Göteborgs kommun,113.3,5.0,6775.0,3100000,2022-08-06,4.0,27361.0,0.0,0.0,57.6475282,11.8968758
Övre Husargatan 21 A,Lägenhet,Linnéstaden,Göteborgs kommun,76.0,3.0,1963.0,5600000,2022-08-05,2.0,73684.0,0.0,0.0,57.6931699,11.9559993
Bratteråsgatan 46,Lägenhet,Eriksberg,Göteborgs kommun,46.0,1.5,2944.0,2375000,2022-08-05,0.0,51630.0,0.0,0.0,57.7049651,11.9136668
Skogaberg 7,Villa,Hisings Backa,Göteborgs kommun,140.0,6.0,,6400000,2022-08-05,-5.0,45714.0,251.0,0.0,57.74729665,11.954421006591447
Jättegrytsgatan 3A,Lägenhet,Örgryte Jakobsdal,Göteborgs kommun,38.0,1.0,2298.0,2100000,2022-08-05,-5.0,55263.0,0.0,0.0,57.6954889,11.9983365
Eriksbergstorget 3,Lägenhet,Eriksberg,Göteborgs kommun,75.5,3.0,3602.0,6400000,2022-08-05,4.0,84768.0,0.0,0.0,57.7003924,11.91348
Övralidsgatan 1,Lägenhet,Hisings Backa,Göteborgs kommun,101.5,4.0,7068.0,2790000,2022-08-05,0.0,27488.0,0.0,0.0,57.7543682,11.975449
Kabelgatan 33D,Lägenhet,Majorna,Göteborgs kommun,56.0,2.0,4173.0,3065000,2022-08-05,3.0,54732.0,0.0,0.0,57.6880522,11.9262699
Solhagagatan 100,Lägenhet,Hisings Kärra,Göteborgs kommun,76.7,3.0,5524.0,2200000,2022-08-05,5.0,28683.0,0.0,0.0,57.7986862,11.9935764
Stabbegatan 22,Lägenhet,Björkekärr,Göteborgs kommun,62.0,3.0,3774.0,2750000,2022-08-05,-1.0,44355.0,0.0,0.0,57.7171932,12.0481064
Vintervädersgatan 15,Lägenhet,Biskopsgården,Göteborgs kommun,22.1,1.0,1502.0,850000,2022-08-05,1.0,38462.0,0.0,0.0,57.7252718,11.8959868
Norra liden 23 ,Lägenhet,Kungshöjd,Göteborgs kommun,58.1,2.0,2770.0,3175000,2022-08-05,0.0,54647.0,0.0,0.0,57.7038101,11.9591711
Frödingsgatan  8C,Lägenhet,Strömmensberg,Göteborgs kommun,39.0,1.0,2590.0,2160000,2022-08-05,3.0,55385.0,0.0,0.0,57.7220207,12.020301
Gröna gatan 49,Lägenhet,Majorna,Göteborgs kommun,41.8,1.0,3444.0,1900000,2022-08-05,0.0,45455.0,0.0,0.0,57.6919604,11.9166627
Wingårdsgatan 5B,Lägenhet,Kålltorp,Göteborgs kommun,36.0,2.0,3045.0,2200000,2022-08-05,-2.0,61111.0,0.0,0.0,57.7092679,12.0243772
Fastlagsgatan 13,Lägenhet,Kortedala,Göteborgs kommun,54.5,2.0,4596.0,1500000,2022-08-04,1.0,27523.0,0.0,0.0,57.7552671,12.0307602
Brygghusvägen 14,Lägenhet,Torslanda,Göteborgs kommun,74.0,3.0,3890.0,3700000,2022-08-04,4.0,50000.0,0.0,0.0,57.755034,11.8288555
Arvesgärde 41,Lägenhet,Tuve,Göteborgs kommun,65.5,2.0,3630.0,1750000,2022-08-04,-5.0,26718.0,0.0,0.0,57.7519948,11.9206314
Generalsgatan 4,Lägenhet,Kviberg,Göteborgs kommun,34.0,1.5,3003.0,1980000,2022-08-04,-1.0,58235.0,0.0,0.0,57.7310921,12.0243886
Mårbackagatan 2,Lägenhet,Hisings Backa,Göteborgs kommun,42.7,1.5,3510.0,1210000,2022-08-04,22.0,28337.0,0.0,0.0,57.75692095,11.987984766488882
Västra midvintersgatan 6,Lägenhet,Kortedala,Göteborgs kommun,31.0,1.0,2471.0,1150000,2022-08-04,21.0,37097.0,0.0,0.0,57.7560266,12.0284334
Småstugevägen 65,Lägenhet,Fräntorp,Göteborgs kommun,56.0,2.0,3267.0,2090000,2022-08-04,5.0,37321.0,0.0,0.0,57.7286617,12.0509441
Handelsmyntet 14,Lägenhet,Högsbo,Göteborgs kommun,35.0,1.0,2034.0,2350000,2022-08-04,12.0,67143.0,0.0,0.0,57.67270645,11.9265348148624
Lillgårdens Gränd 2,Lägenhet,Hovås,Göteborgs kommun,62.5,2.0,3532.0,4150000,2022-08-04,,66400.0,0.0,0.0,57.5988868,11.9516203
Vaktmästaregången 9,Lägenhet,Masthugget,Göteborgs kommun,61.5,3.0,3544.0,3670000,2022-08-04,12.0,59675.0,0.0,0.0,57.6962339,11.9403324
Arvesgärde 19,Lägenhet,Tuve,Göteborgs kommun,62.0,2.0,4188.0,1850000,2022-08-04,0.0,29839.0,0.0,0.0,57.7509929,11.9230292
Storgatan 7,Lägenhet,Centrum,Göteborgs kommun,30.0,1.5,2244.0,2800000,2022-08-04,4.0,93333.0,0.0,0.0,57.699077,11.964335
Artillerigatan 38,Lägenhet,Gamlestaden,Göteborgs kommun,84.0,4.0,4983.0,3990000,2022-08-04,0.0,47500.0,0.0,0.0,57.7305321,12.0179982
Hallmans väg 50,Villa,Olofstorp,Göteborgs kommun,115.0,4.0,,3850000,2022-08-04,0.0,33478.0,915.0,64.0,57.7989522,12.1594171
Nolehultsvägen 3,Lägenhet,Tuve,Göteborgs kommun,61.0,2.0,3331.0,2200000,2022-08-04,5.0,36066.0,0.0,0.0,57.7543131,11.9286764
Falkgatan 14C,Lägenhet,Bagaregården,Göteborgs kommun,32.5,1.0,2125.0,2000000,2022-08-04,12.0,61538.0,0.0,0.0,57.7186056,12.0060396
Steken 1D,Lägenhet,Gårdstensbergen,Göteborgs kommun,34.5,1.0,1504.0,1170000,2022-08-04,7.0,33913.0,0.0,0.0,57.7895861,12.0207656
Slåttängsgatan 33,Villa,Utby,Göteborgs kommun,68.0,4.0,,4400000,2022-08-04,-12.0,64706.0,480.0,68.0,57.7399974,12.058275
Lundgatan 14 lgh 1103,Lägenhet,Lunden,Göteborgs kommun,80.0,2.0,4644.0,4230000,2022-08-04,0.0,52875.0,0.0,0.0,,
Volrat Thamsgatan 15,Lägenhet,Johanneberg,Göteborgs kommun,27.8,1.0,2018.0,2330000,2022-08-03,-2.0,83813.0,0.0,0.0,57.6906639,11.9867383
Astris Gata 70,Lägenhet,Eriksberg,Göteborgs kommun,68.0,3.0,3424.0,3500000,2022-08-03,-2.0,51471.0,0.0,0.0,57.6995091,11.9042394
Julaftonsgatan 70,Villa,Kortedala,Göteborgs kommun,95.0,6.0,,4250000,2022-08-03,0.0,44737.0,532.2,60.0,57.7622643,12.0356354
Lillekärr norra 90,Lägenhet,Hisings Kärra,Göteborgs kommun,65.2,2.0,4039.0,1600000,2022-08-03,15.0,24540.0,0.0,0.0,57.7971667,11.9901499
Sagogången 14,Lägenhet,Hisings Backa,Göteborgs kommun,63.0,2.0,4584.0,1810000,2022-08-03,,28730.0,0.0,0.0,57.740771,11.9750742
Bångegatan 2A,Lägenhet,Gamlestaden,Göteborgs kommun,43.0,2.0,3279.0,1890000,2022-08-03,0.0,43953.0,0.0,0.0,57.7337524,12.017194
Linnégatan 54,,Lägenhet,Linné,Göteborgs kommun,99.0,3.0,4383.0,6400000,2022-08-03,-5.0,64646.0,0.0,0.0,57.6934445,11.9529342
Aspirantgatan 3,Lägenhet,Kviberg,Göteborgs kommun,38.0,1.5,2591.0,2020000,2022-08-03,7.0,53158.0,0.0,0.0,57.732168,12.0251829
Aspirantgatan 5,Lägenhet,Kviberg,Göteborgs kommun,85.0,3.5,4772.0,3750000,2022-08-03,-1.0,44118.0,0.0,0.0,57.732168,12.0251829
Herregårdsgärdet 12,Radhus,Hjällbo,Göteborgs kommun,118.0,6.0,,3750000,2022-08-03,0.0,31780.0,352.0,59.0,57.7646232,12.0143518
Badvädersgatan 5,Lägenhet,Biskopsgården,Göteborgs kommun,66.9,3.0,4586.0,1500000,2022-08-03,2.0,22422.0,0.0,0.0,57.7258377,11.8965054
Norra Liden 29,Lägenhet,Otterhällan,Göteborgs kommun,133.3,5.0,10303.0,7000000,2022-08-03,12.0,52513.0,0.0,0.0,57.7040212,11.9586425
Doktor Bex Gata 9B,Lägenhet,Södra Guldheden,Göteborgs kommun,54.0,2.0,3407.0,2700000,2022-08-03,0.0,50000.0,0.0,0.0,57.6825514,11.974474
Ulfsparregatan 26,Lägenhet,Lunden,Göteborgs kommun,67.0,3.0,3564.0,4900000,2022-08-03,,73134.0,0.0,0.0,57.7108233,12.0138407
Ploggatan 6,Villa,Kyrkbyn,Göteborgs kommun,120.0,6.0,,4220000,2022-08-03,-15.0,35167.0,648.1,107.0,57.7111764,11.904081981414697
Sjömilsgatan 17,Lägenhet,Flatås,Göteborgs kommun,94.0,4.0,4808.0,3600000,2022-08-02,3.0,38298.0,0.0,0.0,57.6618742,11.9287167
Antenngatan 19E,Lägenhet,Västra Frölunda,Göteborgs kommun,115.0,5.0,8588.0,3450000,2022-08-02,0.0,30000.0,0.0,0.0,57.6557589,11.9309621
Sve,Lägenhet,Centrala Hisingen,Göteborgs kommun,70.0,3.0,4483.0,2950000,2022-08-02,0.0,42143.0,0.0,0.0,57.7243312,11.9317128
Gröna Gatan 49,Lägenhet,Majorna,Göteborgs kommun,41.8,1.0,2844.0,2000000,2022-08-02,0.0,47847.0,0.0,0.0,57.6919604,11.9166627
Trädgårdsgärdet 140,Lägenhet,Angered,Göteborgs kommun,79.8,3.0,5488.0,1400000,2022-08-02,18.0,17544.0,0.0,0.0,57.8028013,12.0516291
Körkarlens gata 27,Lägenhet,Backa,Göteborgs kommun,65.4,2.0,4776.0,1450000,2022-08-02,-9.0,22171.0,0.0,0.0,57.7564113,11.9850412
Nordenskiöldsgatan 6,Lägenhet,Linné,Göteborgs kommun,64.9,3.0,4279.0,4325000,2022-08-02,3.0,66641.0,0.0,0.0,57.692515,11.9537912
Mandolingatan 7,Lägenhet,Ruddalen,Göteborgs kommun,58.5,2.0,3152.0,1875000,2022-08-02,-6.0,32051.0,0.0,0.0,57.6578842,11.9172915
Fjärdingsgatan 15,Lägenhet,Kvillebäcken,Göteborgs kommun,74.6,3.0,5063.0,3950000,2022-08-02,14.0,52949.0,0.0,0.0,57.7224768,11.9442917
Övre Fogelbergsgatan 4,Lägenhet,Anneda,Göteborgs kommun,67.5,2.0,3711.0,4300000,2022-08-02,0.0,63704.0,0.0,0.0,57.69549,11.9650358
Sankt Jörgens väg 28D,Lägenhet,Sankt Jörgen,Göteborgs kommun,66.0,2.0,3555.0,2550000,2022-08-02,6.0,38636.0,0.0,0.0,57.7513834,11.952012
Lodjursstråket 1,,Lägenhet,Lindholmen,Göteborgs kommun,49.0,2.0,3817.0,4050000,2022-08-02,-1.0,82653.0,0.0,0.0,57.7095787,11.9390091
Basungatan 46,Lägenhet,Kaverös,Göteborgs kommun,47.5,1.5,2930.0,1750000,2022-08-02,19.0,36842.0,0.0,0.0,57.6633451,11.9162384
Egnahemsvägen 20C,Lägenhet,Landala Egnahem,Göteborgs kommun,33.3,1.0,1563.0,2700000,2022-08-02,18.0,81081.0,0.0,0.0,57.6879808,11.970844
Eklandagatan 56B,Lägenhet,Johanneberg,Göteborgs kommun,45.0,2.0,2950.0,2825000,2022-08-02,1.0,62778.0,0.0,0.0,57.6893323,11.9883141
Bokskogsbacken 79,Radhus,Göteborg,Göteborgs kommun,99.0,5.0,,5875000,2022-08-02,7.0,59343.0,337.9,22.0,57.75184324999999,11.9548089874974
Fyrverkaregatan 1 A,Lägenhet,Landala Egnahem,Göteborgs kommun,38.0,1.5,2277.0,2850000,2022-08-02,10.0,75000.0,0.0,0.0,57.6886044,11.9716505
Masthuggstorget 5,Lägenhet,Masthugget,Göteborgs kommun,42.0,1.0,2858.0,2550000,2022-08-01,1.0,60714.0,0.0,0.0,57.6991064,11.942509
Smörslottsgatan 61,Lägenhet,Björkekärr,Göteborgs kommun,66.1,2.0,4851.0,3125000,2022-08-01,0.0,47277.0,0.0,0.0,57.7143983,12.0557054
Gamla Tumlehedsvägen 11,Lägenhet,Torslanda,Göteborgs kommun,38.0,1.0,2589.0,1795000,2022-08-01,0.0,47237.0,0.0,0.0,57.7255363,11.7571975
Pimpinellagatan 26,Lägenhet,Gårdsten,Göteborgs kommun,113.0,4.0,7300.0,2100000,2022-08-01,5.0,18584.0,0.0,0.0,57.8080574,12.0348177
Fiolgatan 4,Lägenhet,Ruddalen,Göteborgs kommun,69.3,3.0,4890.0,2150000,2022-08-01,0.0,31025.0,0.0,0.0,57.6609081,11.913439
Grafiska vägen 4A,Lägenhet,Almeda,Göteborgs kommun,33.0,1.0,2198.0,2200000,2022-08-01,0.0,66667.0,0.0,0.0,57.6817666,12.0023971
Askim GFA Stuga B42,Fritidshus,Hult,Göteborgs kommun,35.0,2.0,,1550000,2022-08-01,4.0,44286.0,0.0,0.0,,
Hackspettsgatan 17,Lägenhet,Örgryte,Göteborgs kommun,85.0,4.0,4480.0,4490000,2022-08-01,0.0,52824.0,0.0,0.0,57.6896614,12.009669
Grafiska vägen 4A,Lägenhet,Johanneberg,Göteborgs kommun,33.0,1.0,2088.0,2225000,2022-08-01,1.0,67424.0,0.0,0.0,57.6817666,12.0023971
Klockarevägen 18,Villa,Hisings Kärra,Göteborgs kommun,112.0,5.0,,4775000,2022-08-01,14.0,42634.0,511.2,0.0,57.7926264,11.993897
Famngatan 8,Lägenhet,Högsbo,Göteborgs kommun,29.0,1.0,1600.0,1525000,2022-08-01,0.0,52586.0,0.0,0.0,57.6626334,11.9270175
Hults sörgårdsväg 25,Villa,Askim,Göteborgs kommun,161.0,5.0,,10950000,2022-07-31,0.0,68012.0,508.0,10.0,57.629221,11.931250922660286
Solventilsgatan 17C,Lägenhet,Kvillebäcken,Göteborgs kommun,48.0,2.0,3513.0,2295000,2022-07-31,0.0,47813.0,0.0,0.0,57.7223859,11.9487387
Monsungatan 65B,Lägenhet,Eriksberg,Göteborgs kommun,43.0,2.0,2499.0,3075000,2022-07-31,-4.0,71512.0,0.0,0.0,57.6965183,11.9070587
Munkebäcksgatan 48C,Lägenhet,Kålltorp,Göteborgs kommun,35.0,1.0,2349.0,1950000,2022-07-31,0.0,55714.0,0.0,0.0,57.7112955,12.0243734
Beryllgatan 40,Lägenhet,Tynnered,Göteborgs kommun,80.1,3.0,5161.0,2550000,2022-07-31,2.0,31835.0,0.0,0.0,57.6568085,11.8874465
Lotta svärdsgatan 4A,Lägenhet,Gamlestaden,Göteborgs kommun,34.5,1.0,2815.0,1760000,2022-07-30,-2.0,51014.0,0.0,0.0,57.7339152,12.0196423
Steken 1J,Lägenhet,Angered,Göteborgs kommun,66.0,3.0,2756.0,1370000,2022-07-29,-1.0,20758.0,0.0,0.0,57.7895861,12.0207656
Rubingatan 11,Lägenhet,Tynnered,Göteborgs kommun,25.5,1.0,1501.0,1050000,2022-07-29,-5.0,41176.0,0.0,0.0,57.6458419,11.9024232
Lindholmshamnen 40,Lägenhet,Lindholmen,Göteborgs kommun,92.0,4.0,5162.0,6490000,2022-07-29,0.0,70543.0,0.0,0.0,57.7095258,11.941708276596158
Sägengatan 13,Lägenhet,Hisings Backa,Göteborgs kommun,81.0,3.0,5596.0,1900000,2022-07-29,0.0,23457.0,0.0,0.0,57.7444066,11.9782395
Mattssonsliden 18,Lägenhet,Masthugget,Göteborgs kommun,37.0,2.0,2298.0,2500000,2022-07-29,6.0,67568.0,0.0,0.0,57.6979762,11.942032
Lergöksgatan 21,Lägenhet,Västra Frölunda,Göteborgs kommun,53.0,2.0,3782.0,2175000,2022-07-29,-1.0,41038.0,0.0,0.0,57.657945,11.8998651
Ostindiefararen 21,Lägenhet,Eriksberg,Göteborgs kommun,30.0,1.0,1338.0,2650000,2022-07-29,2.0,88333.0,0.0,0.0,57.6985431,11.9096551
Ostgatan 14,Lägenhet,Kallebäck,Göteborgs kommun,44.0,2.0,3489.0,2015000,2022-07-29,1.0,45795.0,0.0,0.0,57.6840757,12.0092103
Fruktträdsgatan 11,Lägenhet,Centrala Hisingen,Göteborgs kommun,69.0,3.0,3726.0,3800000,2022-07-29,,55072.0,0.0,0.0,,
Doktor Lindhs Gata 6,Lägenhet,Guldheden,Göteborgs kommun,37.0,1.0,1670.0,2600000,2022-07-29,11.0,70270.0,0.0,0.0,57.6813852,11.9665178
Kryddhyllan 106,Villa,Gårdsten,Göteborgs kommun,107.0,4.0,,4035000,2022-07-29,-6.0,37710.0,389.0,0.0,57.8026863,12.0219867
Ebbe Lieberathsgatan 14C,Lägenhet,Almeda,Göteborgs kommun,55.0,2.0,2942.0,2925000,2022-07-29,-2.0,53182.0,0.0,0.0,57.6820641,11.9991447
Berglärkan 9,Radhus,Hagen,Göteborgs kommun,112.0,4.0,,7200000,2022-07-29,-4.0,64286.0,172.0,34.0,57.6721513,11.8916797
Spaldingsgatan 5,Lägenhet,Johanneberg,Göteborgs kommun,49.0,2.0,2647.0,3800000,2022-07-29,,77551.0,0.0,0.0,57.6889768,11.9831903
Ånäsvägen 56B,Lägenhet,Bagaregården,Göteborgs kommun,57.0,2.0,3604.0,2600000,2022-07-29,1.0,45614.0,0.0,0.0,57.7158092,12.0040426
Banérsgatan 14D,Lägenhet,Gamlestaden,Göteborgs kommun,54.0,2.0,3853.0,2600000,2022-07-29,4.0,48148.0,0.0,0.0,57.7292335,12.0097449
Bildradiogatan 2,Lägenhet,Järnbrott,Göteborgs kommun,53.5,2.0,4010.0,1900000,2022-07-29,-3.0,35514.0,0.0,0.0,57.6586767,11.9322784
Ebbe Lieberathsgatan 16B,Lägenhet,Almeda,Göteborgs kommun,30.5,1.0,2415.0,2300000,2022-07-29,5.0,75410.0,0.0,0.0,57.6820641,11.9991447
Andra Långgatan 32,Lägenhet,Linné,Göteborgs kommun,49.0,2.0,2659.0,3050000,2022-07-29,2.0,62245.0,0.0,0.0,57.6986613,11.944659
Linnéplatsen 3,Lägenhet,Linné,Göteborgs kommun,88.3,3.0,5026.0,8030000,2022-07-29,24.0,90940.0,0.0,0.0,57.6903849,11.9521768
Ulfsparregatan 9E,Lägenhet,Lunden,Göteborgs kommun,37.0,1.0,2666.0,2380000,2022-07-28,11.0,64324.0,0.0,0.0,57.7105554,12.0135387
Oterdahlsgatan 9A,Lägenhet,Centrala Hisingen,Göteborgs kommun,36.5,1.0,3138.0,1200000,2022-07-28,0.0,32877.0,0.0,0.0,57.7202977,11.9236147
Gullrisgatan 5A,Lägenhet,Kvillebäcken,Göteborgs kommun,49.0,2.0,3954.0,2050000,2022-07-28,5.0,41837.0,0.0,0.0,57.7269838,11.9437606
Doktor Hjorts gata 2B,Lägenhet,Södra Guldheden,Göteborgs kommun,54.5,2.0,3537.0,3000000,2022-07-28,11.0,55046.0,0.0,0.0,57.6820501,11.9735941
Kortedala torg 6C,Lägenhet,Kortedala,Göteborgs kommun,71.0,3.0,4805.0,2425000,2022-07-28,-2.0,34155.0,0.0,0.0,57.7515335,12.031752026785044
Skytteskogsgatan 23,Lägenhet,Kungsladugård,Göteborgs kommun,41.3,2.0,3356.0,2625000,2022-07-28,1.0,63559.0,0.0,0.0,57.6808003,11.9310812
Lillekärr Södra 202,Lägenhet,Hisings Kärra,Göteborgs kommun,62.5,2.0,4283.0,1400000,2022-07-28,-3.0,22400.0,0.0,0.0,57.7934985,11.9885893
Ebbe Lieberathsgatan 29C,Lägenhet,Almeda,Göteborgs kommun,89.0,4.0,4768.0,4560000,2022-07-28,0.0,51236.0,0.0,0.0,57.6820641,11.9991447
Barytongatan 14,Lägenhet,Kaverös,Göteborgs kommun,44.0,2.0,2870.0,1830000,2022-07-28,-1.0,41591.0,0.0,0.0,57.6640797,11.92013
Kobbeslätten 6,Lägenhet,Askim,Göteborgs kommun,54.0,2.0,3522.0,2555000,2022-07-28,-4.0,47315.0,0.0,0.0,57.6385409,11.9431458
Penselgatan 20,Lägenhet,Kvillebäcken,Göteborgs kommun,51.0,2.0,2722.0,2950000,2022-07-28,9.0,57843.0,0.0,0.0,57.7234778,11.9490837
