address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude
Famngatan 10 ,Lägenhet,Högsbo,Göteborgs kommun,29.0,1.0,1635.0,1850000,2022-08-22,0.0,63793.0,0.0,0.0,57.6626334,11.9270175
Kryddhyllan 108,Villa,Gårdsten,Göteborgs kommun,107.0,5.0,,4300000,2022-08-21,,40187.0,414.0,7.0,57.8026863,12.0219867
Bratteråsgatan 40, ,Lägenhet,Eriksberg,Göteborgs kommun,33.0,1.0,2451.0,2820000,2022-08-18,9.0,85455.0,0.0,0.0,57.7036654,11.9146426
Måns bryntessonsgatan 23 B,Lägenhet,Gamlestaden,Göteborgs kommun,51.0,2.0,3795.0,1850000,2022-09-05,-2.0,36275.0,0.0,0.0,57.7340986,12.0081667
Hälleflundregatan 48,Lägenhet,Västra Frölunda,Göteborgs kommun,98.0,3.0,5166.0,6975000,2022-09-05,0.0,71173.0,0.0,0.0,57.6485499,11.853632
Bratteråsgatan 40,Lägenhet,Eriksberg,Göteborgs kommun,77.0,3.0,4221.0,4300000,2022-09-05,-2.0,55844.0,0.0,8.0,57.7036654,11.9146426
Hällskriftsgatan 24,Lägenhet,Centrala Hisingen,Göteborgs kommun,93.4,4.0,5997.0,3160000,2022-09-05,-3.0,33833.0,0.0,0.0,57.7320541,11.9340443
Mandolingatan 7,Lägenhet,Ruddalen,Göteborgs kommun,68.0,3.0,3643.0,2575000,2022-09-05,0.0,37868.0,0.0,0.0,57.6578842,11.9172915
Tygvaktaregatan 13,Villa,Askim,Göteborgs kommun,147.0,7.0,,6200000,2022-09-05,-3.0,42177.0,388.0,8.0,57.636529,11.933073852446878
Lindholmsallén 57,Lägenhet,Lindholmen,Göteborgs kommun,61.0,2.0,3762.0,3545000,2022-09-05,1.0,58115.0,0.0,0.0,57.7082057,11.936029
Östanvindsgatan 5C,Lägenhet,Centrala Hisingen,Göteborgs kommun,58.0,2.0,3690.0,1950000,2022-09-05,3.0,33621.0,0.0,0.0,57.7232068,11.931991
Hallstenshagen 22,Radhus,Hallstenshagen,Göteborgs kommun,145.0,5.0,,5300000,2022-09-05,6.0,36552.0,301.8,0.0,57.64905855,11.883584163561302
