address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq
Hallstenshagen 72,Radhus,Önnered,Göteborgs kommun,145.0,6.0,,6000000.0,2022-10-20,2.0,41379.0,301.8,0.0
Sabinas väg 1,Villa,Gerrebacka,Göteborgs kommun,173.0,6.0,,6700000.0,2022-10-20,-4.0,38728.0,1737.0,17.0
Långefjällsgatan 3 C,Radhus,Björkekärr,Göteborgs kommun,99.0,4.0,,5700000.0,2022-10-20,-10.0,57576.0,174.0,0.0
Skogsrydsgatan 23A,Lägenhet,Långedrag/Hagen,Göteborgs kommun,22.0,1.0,1269.0,1500000.0,2022-10-20,-6.0,68182.0,0.0,0.0
Saxofongatan 2,Lägenhet,Ruddalen,Göteborgs kommun,74.0,4.0,4597.0,2650000.0,2022-10-20,0.0,35811.0,0.0,0.0
Backeredsvägen 7,Villa,Kungälv,Göteborgs kommun,181.0,7.0,,4895000.0,2022-10-20,0.0,27044.0,1633.7,58.0
Molinsgatan 11,Lägenhet,Vasastaden,Göteborgs kommun,62.0,2.0,3635.0,4490000.0,2022-10-20,0.0,72419.0,0.0,0.0
Kobbeslätten 6,Lägenhet,Askim,Göteborgs kommun,54.0,2.0,3316.0,2300000.0,2022-10-20,0.0,42593.0,0.0,0.0
Lillekärr Södra 194,Lägenhet,Hisings Kärra,Göteborgs kommun,62.0,2.0,4015.0,1750000.0,2022-10-20,,28226.0,0.0,0.0
Fjärde Långgatan 23,Lägenhet,Linné,Göteborgs kommun,61.1,2.0,3238.0,3240000.0,2022-10-20,0.0,53028.0,0.0,0.0
Hökegatan 18,Lägenhet,Olskroken,Göteborgs kommun,63.5,2.0,4268.0,2800000.0,2022-10-20,-2.0,44094.0,0.0,0.0
Fyrmästaregången 14,Lägenhet,Masthugget,Göteborgs kommun,39.0,2.0,2119.0,2190000.0,2022-10-20,0.0,56154.0,0.0,0.0
Pontus Wiknersgatan 7,Lägenhet,Johanneberg,Göteborgs kommun,114.0,4.0,5479.0,7800000.0,2022-10-20,-2.0,68421.0,0.0,0.0
Rundbäcksgatan 4,Lägenhet,Centrala Hisingen,Göteborgs kommun,83.0,3.0,4156.0,3820000.0,2022-10-20,1.0,46024.0,0.0,0.0
Rosensköldsgatan 9,Lägenhet,Johanneberg,Göteborgs kommun,29.0,1.0,1800.0,2495000.0,2022-10-20,0.0,86034.0,0.0,0.0
Smörslottsgatan 51,Lägenhet,Björkekärr,Göteborgs kommun,51.8,1.0,3497.0,1890000.0,2022-10-20,-5.0,36486.0,0.0,0.0
Hedtångsvägen 27,Lägenhet,Hovås,Göteborgs kommun,42.0,1.5,2684.0,2650000.0,2022-10-20,-4.0,63095.0,0.0,0.0
Fågleviksvägen 5B,Lägenhet,Torslanda - Lilleby,Göteborgs kommun,60.0,2.0,3053.0,2650000.0,2022-10-20,-5.0,44167.0,0.0,0.0
Eklandagatan 56D,Lägenhet,Johanneberg,Göteborgs kommun,45.0,2.0,2760.0,3120000.0,2022-10-20,8.0,69333.0,0.0,0.0
Blåsutgatan 5,Lägenhet,Majorna,Göteborgs kommun,72.1,3.0,5295.0,3475000.0,2022-10-20,0.0,48197.0,0.0,0.0
Sandeslättskroken 45,Radhus,Hjällbo,Göteborgs kommun,140.0,6.0,,2800000.0,2022-10-20,4.0,20000.0,109.0,23.0
Smögengatan 18,Lägenhet,Björkekärr,Göteborgs kommun,53.0,2.0,2892.0,2990000.0,2022-10-20,0.0,56415.0,0.0,0.0
Sankt Jörgens Väg 12A,Lägenhet,Sankt Jörgen,Göteborgs kommun,57.0,2.0,3287.0,2200000.0,2022-10-20,,38596.0,0.0,0.0
Jakobsdalsgatan 12 B,Radhus,Örgryte,Göteborgs kommun,140.0,5.0,,8750000.0,2022-10-20,7.0,62500.0,312.7,58.0
Kyrkogatan 42 C,Lägenhet,Inom Vallgraven,Göteborgs kommun,74.0,2.0,3900.0,3995000.0,2022-10-20,0.0,53986.0,0.0,0.0
Gitarrgatan 3,Lägenhet,Ruddalen,Göteborgs kommun,55.5,2.0,4362.0,1950000.0,2022-10-20,,35135.0,0.0,0.0
Plåtmyntsgatan 25,Lägenhet,Högsbo,Göteborgs kommun,66.5,3.0,4534.0,2900000.0,2022-10-20,2.0,43609.0,0.0,0.0
Haråsgatan 11,Lägenhet,Majorna,Göteborgs kommun,59.0,2.0,3456.0,3150000.0,2022-10-20,-4.0,53390.0,0.0,0.0
Briljantgatan 75,Lägenhet,Tynnered,Göteborgs kommun,70.0,3.0,3785.0,1730000.0,2022-10-19,8.0,24714.0,0.0,0.0
Åkereds äng 24,Lägenhet,Näset,Göteborgs kommun,69.0,2.0,4247.0,3600000.0,2022-10-19,3.0,52174.0,0.0,0.0
Björklundavägen 4,Lägenhet,Nya Hovås,Göteborgs kommun,35.0,1.0,2448.0,2150000.0,2022-10-19,-6.0,61429.0,0.0,0.0
Nordostpassagen 9,Lägenhet,Linné,Göteborgs kommun,80.2,3.0,3668.0,4400000.0,2022-10-19,-2.0,54863.0,0.0,0.0
Gustavsplatsen 1 I,Lägenhet,Bagaregården,Göteborgs kommun,36.5,1.0,2583.0,2100000.0,2022-10-19,8.0,57534.0,0.0,0.0
Västgötagatan 1,Lägenhet,Heden,Göteborgs kommun,75.0,2.0,3792.0,4250000.0,2022-10-16,-1.0,56667.0,0.0,0.0
Monsungatan 55,Lägenhet,Eriksberg,Göteborgs kommun,77.0,3.0,4589.0,4800000.0,2022-10-19,-4.0,62338.0,0.0,0.0
Doktor Forselius Gata 2,Lägenhet,Guldheden,Göteborgs kommun,81.5,4.0,5232.0,3360000.0,2022-10-19,14.0,41227.0,0.0,0.0
Ebbe Lieberathsgatan 14A,Lägenhet,Johanneberg - Almedal,Göteborgs kommun,75.0,3.0,3735.0,4500000.0,2022-10-19,-2.0,60000.0,0.0,0.0
Ängemarken 11A,Lägenhet,Norra Guldheden,Göteborgs kommun,39.0,1.0,2700.0,2525000.0,2022-10-19,-1.0,64744.0,0.0,0.0
Jättekullegatan 51I,Villa,Utby,Göteborgs kommun,129.0,5.0,,5250000.0,2022-10-19,-10.0,40698.0,551.0,0.0
Kabelgatan 20,Lägenhet,Majorna,Göteborgs kommun,54.5,2.0,3959.0,2500000.0,2022-10-19,0.0,45872.0,0.0,0.0
Musikvägen 6,Lägenhet,Västra Frölunda,Göteborgs kommun,104.0,5.0,6403.0,3195000.0,2022-10-19,0.0,30721.0,0.0,0.0
Anna Branzells Gata 4,Lägenhet,Kviberg,Göteborgs kommun,64.0,2.0,3556.0,2950000.0,2022-10-19,0.0,46094.0,0.0,0.0
Kölnåsgatan 20,Villa,Centrala Hisingen,Göteborgs kommun,63.0,4.0,,4800000.0,2022-10-19,-4.0,76190.0,416.0,54.0
Virvelvindsgatan 24,Lägenhet,Centrala Hisingen,Göteborgs kommun,69.0,3.0,4339.0,2295000.0,2022-10-19,0.0,33261.0,0.0,0.0
Golvläggaregatan 4D,Lägenhet,Johanneberg,Göteborgs kommun,78.0,3.5,4356.0,3650000.0,2022-10-19,4.0,46795.0,0.0,0.0
Doktor bex gata 11B,Lägenhet,Guldheden,Göteborgs kommun,52.5,2.0,2767.0,2500000.0,2022-10-19,0.0,47619.0,0.0,0.0
Mintensgatan 5 A,Lägenhet,Olskroken,Göteborgs kommun,48.0,2.0,2431.0,2725000.0,2022-10-19,-3.0,56771.0,0.0,0.0
Sjupundsgatan 27,Lägenhet,Högsbohöjd,Göteborgs kommun,35.0,1.0,2081.0,1925000.0,2022-10-19,-4.0,55000.0,0.0,0.0
Bratteråsgatan 66,Lägenhet,Eriksberg,Göteborgs kommun,81.0,3.0,3868.0,4150000.0,2022-10-19,1.0,51235.0,0.0,0.0
Norra Gubberogatan 23B,Lägenhet,Olskroken,Göteborgs kommun,75.0,2.0,4144.0,2950000.0,2022-10-19,-3.0,39333.0,0.0,0.0
Gamlestadstorget 25,Lägenhet,Gamlestaden,Göteborgs kommun,85.0,3.0,5521.0,2882500.0,2022-10-19,0.0,33912.0,0.0,0.0
