address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq
Fastlagsgatan 10,Lägenhet,Kortedala,Göteborgs kommun,54.0,2.0,4577.0,1450000.0,2022-09-13,5.0,26852.0,0.0,0.0
Karin Boyes gata 4,Lägenhet,Prippska Tomten,Göteborgs kommun,73.2,2.0,4351.0,3750000.0,2022-09-13,0.0,51230.0,0.0,0.0
Verkmästaregatan 9,Lägenhet,Lindholmen,Göteborgs kommun,84.0,3.0,5671.0,3350000.0,2022-09-13,-7.0,39881.0,0.0,0.0
Västra Stillestorpsgatan 9,Lägenhet,Centrala Hisingen,Göteborgs kommun,32.9,1.0,2723.0,1500000.0,2022-09-13,0.0,45593.0,0.0,0.0
Bäckebolsängen 24,Lägenhet,Hisings Backa,Göteborgs kommun,72.6,3.0,5478.0,1600000.0,2022-09-13,-6.0,22039.0,0.0,0.0
Björklundavägen 4,Lägenhet,Hovås,Göteborgs kommun,35.0,1.0,2486.0,2225000.0,2022-09-13,-5.0,63571.0,0.0,0.0
Famngatan 8,Lägenhet,Högsbo,Göteborgs kommun,29.0,1.0,1635.0,1825000.0,2022-09-13,0.0,62931.0,0.0,0.0
Uddevallagatan 35B,Lägenhet,Bagaregården,Göteborgs kommun,60.0,2.0,3697.0,2850000.0,2022-09-13,2.0,47500.0,0.0,0.0
Fjällbo Park 37,Lägenhet,Utby Göteborgs kommun,Göteborgs kommun,33.0,1.0,1970.0,1800000.0,2022-09-13,3.0,54545.0,0.0,0.0
Frida Hjertbergs Gata 14,Lägenhet,Johanneberg,Göteborgs kommun,74.0,3.0,2655.0,5210000.0,2022-09-13,4.0,70405.0,0.0,0.0
Vårlöksgatan 5A,Lägenhet,Centrala Hisingen,Göteborgs kommun,52.0,2.0,3646.0,1795000.0,2022-09-13,0.0,34519.0,0.0,0.0
Rustmästaregatan 31,Lägenhet,Kviberg,Göteborgs kommun,86.0,3.0,4498.0,3750000.0,2022-09-13,6.0,43605.0,0.0,0.0
Kallkällegatan 16B,Lägenhet,Kålltorp,Göteborgs kommun,70.6,3.0,4365.0,3700000.0,2022-09-13,,52408.0,0.0,0.0
Doktor Lindhs gata 1,Lägenhet,Södra Guldheden,Göteborgs kommun,38.1,1.0,1917.0,2475000.0,2022-09-13,-1.0,64961.0,0.0,0.0
Liedstrandsgatan 12,Lägenhet,Göteborg,Göteborgs kommun,74.0,2.5,3426.0,4250000.0,2022-09-13,6.0,57432.0,0.0,0.0
Ljungslättsgatan 5B,Lägenhet,Björkekärr,Göteborgs kommun,73.0,3.0,4197.0,4050000.0,2022-09-13,,55479.0,0.0,0.0
Gräddgatan 7,Lägenhet,Kallebäck,Göteborgs kommun,52.5,2.0,3124.0,2700000.0,2022-09-13,8.0,51429.0,0.0,0.0
Solfågelsvägen 11D,Villa,Knipared,Göteborgs kommun,155.0,5.0,,4300000.0,2022-09-12,-1.0,27742.0,990.0,0.0
Lillekärr norra 4,Lägenhet,Hisings Kärra,Göteborgs kommun,64.4,2.0,4281.0,1795000.0,2022-09-12,0.0,27873.0,0.0,0.0
Teatergatan 21,Lägenhet,Lorensberg,Göteborgs kommun,68.0,2.0,2138.0,4200000.0,2022-09-12,-6.0,61765.0,0.0,0.0
Ängslyckan 49,Radhus,Billdal,Göteborgs kommun,118.0,5.0,,5450000.0,2022-09-12,0.0,46186.0,86.0,30.0
Rappedalsvägen 27 A,Lägenhet,Angered,Göteborgs kommun,86.0,2.5,6107.0,1370000.0,2022-09-12,2.0,15930.0,0.0,0.0
Barken Storegrunds gata 6,Lägenhet,Sannegården,Göteborgs kommun,70.0,2.0,4126.0,3375000.0,2022-09-12,3.0,48214.0,0.0,0.0
Borstbindaregatan 1,Lägenhet,Kvillebäcken,Göteborgs kommun,58.5,2.0,3532.0,2690000.0,2022-09-12,0.0,45983.0,0.0,0.0
Ernst Torulfsgatan 3E,Lägenhet,Munkebäck,Göteborgs kommun,37.0,1.0,2594.0,2200000.0,2022-09-12,0.0,59459.0,0.0,0.0
De geersgatan 9A,Lägenhet,Lunden,Göteborgs kommun,54.0,2.0,3565.0,2965000.0,2022-09-12,1.0,54907.0,0.0,0.0
Kungsgatan 9A,Lägenhet,Kungshöjd,Göteborgs kommun,142.0,4.0,6579.0,8800000.0,2022-09-12,-7.0,61972.0,0.0,0.0
Kabelgatan 26,Lägenhet,Majorna,Göteborgs kommun,74.5,3.0,5404.0,4100000.0,2022-09-12,11.0,55034.0,0.0,0.0
Svängrumsgatan 12,Lägenhet,Flatås,Göteborgs kommun,76.5,3.0,3995.0,2675000.0,2022-09-12,3.0,34967.0,0.0,0.0
Gibraltargatan 12,Lägenhet,Nedre Johanneberg,Göteborgs kommun,92.3,2.0,4192.0,6950000.0,2022-09-12,-3.0,75298.0,0.0,0.0
Lärjeheds Fritidsområde stuga nr 19,Fritidshus,Linnarhult,Göteborgs kommun,45.0,2.0,,730000.0,2022-09-12,5.0,16222.0,450.0,30.0
Forellgatan 31,Radhus,Fiskebäck,Göteborgs kommun,122.0,5.0,,4800000.0,2022-09-12,-11.0,39344.0,249.4,0.0
Prilyckegatan 293,Radhus,Hisings Kärra,Göteborgs kommun,117.0,5.0,7389.0,3600000.0,2022-09-12,-6.0,30769.0,0.0,6.0
Welandergatan 8,Lägenhet,Örgryte - Kärralund,Göteborgs kommun,66.0,2.5,4569.0,3300000.0,2022-09-11,,50000.0,0.0,0.0
Karin Boyes gata 11,Lägenhet,Prippska Tomten,Göteborgs kommun,70.0,3.0,4257.0,4020000.0,2022-09-11,-5.0,57429.0,0.0,0.0
Algatan 2,Villa,Påvelund - Käringberget,Göteborgs kommun,145.0,6.0,,7700000.0,2022-09-11,-9.0,53103.0,557.0,110.0
Beryllgatan 2,Lägenhet,Tynnered,Göteborgs kommun,67.5,2.0,4302.0,2425000.0,2022-09-11,,35926.0,0.0,0.0
Ekereds höjd 51,Villa,Gunnilse,Göteborgs kommun,112.0,4.0,,4950000.0,2022-09-11,4.0,44196.0,488.0,7.0
Bergums Prästgårdsbacke 23,Lägenhet,Olofstorp,Göteborgs kommun,78.0,3.0,4764.0,2475000.0,2022-09-11,1.0,31731.0,0.0,0.0
Räkgången 1,Villa,Fiskebäck,Göteborgs kommun,220.0,7.0,,9350000.0,2022-09-11,-6.0,42500.0,494.0,48.0
Kyrkåsgatan 11C,Lägenhet,Kärralund,Göteborgs kommun,51.0,2.0,3041.0,2590000.0,2022-09-11,-2.0,50784.0,0.0,0.0
Solarvsplan 36,Lägenhet,Askim,Göteborgs kommun,93.2,4.0,5805.0,3100000.0,2022-09-11,-6.0,33262.0,0.0,0.0
Bockhornsgatan 13 B,Lägenhet,Gamla Masthugget,Göteborgs kommun,47.0,2.0,3065.0,3380000.0,2022-09-11,4.0,71915.0,0.0,0.0
Wrangelsgatan 6,Lägenhet,Lunden,Göteborgs kommun,64.0,2.0,4864.0,2950000.0,2022-09-11,,46094.0,0.0,0.0
Norra Liden 25,Lägenhet,Inom Vallgraven - Otterhällan,Göteborgs kommun,89.7,4.0,6816.0,4850000.0,2022-09-11,-2.0,54069.0,0.0,0.0
Hinderbanan 8,Lägenhet,Kviberg,Göteborgs kommun,89.0,3.0,4606.0,3850000.0,2022-09-11,4.0,43258.0,0.0,0.0
Gropens Lillgata 25,Lägenhet,Hammarkroken,Göteborgs kommun,85.0,4.0,4887.0,2200000.0,2022-09-11,0.0,25882.0,0.0,0.0
Uddevallagatan 33,Lägenhet,Bagaregården,Göteborgs kommun,118.3,4.0,5570.0,8050000.0,2022-09-10,7.0,68047.0,0.0,0.0
Nedergårdsgatan 9,Lägenhet,Kålltorp,Göteborgs kommun,30.0,1.0,2009.0,1950000.0,2022-09-10,0.0,65000.0,0.0,0.0
Pärt-Antons gata 53,Radhus,Påvelund,Göteborgs kommun,152.0,7.0,,6350000.0,2022-09-10,-2.0,41776.0,568.7,0.0
Eklandagatan 1,Lägenhet,Lorensberg,Göteborgs kommun,112.0,4.0,3426.0,7850000.0,2022-09-10,5.0,70089.0,0.0,0.0
Distansgatan 23D,Lägenhet,Flatås,Göteborgs kommun,54.8,2.0,3736.0,2500000.0,2022-09-10,0.0,45620.0,0.0,0.0
Mystängen 33,Radhus,Hisings Kärra - Mysterna,Göteborgs kommun,126.0,5.0,,5025000.0,2022-09-10,1.0,39881.0,415.0,0.0
Norra Liden 4,Lägenhet,Otterhällan / Kungshöjd,Göteborgs kommun,130.0,4.0,5931.0,8500000.0,2022-09-09,,65385.0,0.0,0.0
Kvillegatan 23,Lägenhet,Centrala Hisingen,Göteborgs kommun,74.0,3.0,3715.0,3700000.0,2022-09-09,6.0,50000.0,0.0,0.0
"Grafiska vägen 4C, våning 8",Lägenhet,Almedal,Göteborgs kommun,34.5,1.0,2682.0,2150000.0,2022-09-09,-1.0,62319.0,0.0,0.0
Tunnlandsgatan 18,Lägenhet,Kaverös,Göteborgs kommun,59.5,2.0,2045.0,2120000.0,2022-09-09,0.0,35630.0,0.0,0.0
Marklandsgatan 43,Lägenhet,Högsbo,Göteborgs kommun,54.0,2.0,3579.0,2290000.0,2022-09-09,0.0,42407.0,0.0,0.0
Maskrosgatan 16,Radhus,Kvillebäcken,Göteborgs kommun,107.0,5.0,,4560000.0,2022-09-09,1.0,42617.0,286.5,5.0
Svängrumsgatan 83,Lägenhet,Högsbo,Göteborgs kommun,77.0,3.0,4212.0,3700000.0,2022-09-09,0.0,48052.0,0.0,0.0
Sagogången 42,Lägenhet,Hisings Backa,Göteborgs kommun,45.5,2.0,3540.0,1425000.0,2022-09-09,-5.0,31319.0,0.0,0.0
Brunkebergsgatan 3F,Lägenhet,Lunden,Göteborgs kommun,55.0,2.0,3366.0,2700000.0,2022-09-09,2.0,49091.0,0.0,0.0
Lilla Bottnevägen 48B,Lägenhet,Torslanda - Centralt,Göteborgs kommun,71.0,3.0,3500.0,3850000.0,2022-09-09,-4.0,54225.0,0.0,0.0
Distansgatan 23A,Lägenhet,Högsbo,Göteborgs kommun,55.9,2.0,3816.0,2500000.0,2022-09-09,4.0,44723.0,0.0,0.0
Barken Beatrices Gata 2,Lägenhet,Sannegårdshamnen,Göteborgs kommun,96.0,4.0,5330.0,4500000.0,2022-09-09,-4.0,46875.0,0.0,0.0
Bredängen 16,Radhus,Billdal,Göteborgs kommun,135.0,6.0,,5650000.0,2022-09-09,-2.0,41852.0,108.0,18.0
Gamla Tuvevägen 8,Lägenhet,Kvillebäcken,Göteborgs kommun,55.0,2.0,3410.0,2650000.0,2022-09-09,0.0,48182.0,0.0,0.0
Kapplandsgatan 18,Lägenhet,Högsbo,Göteborgs kommun,66.0,3.0,4076.0,2725000.0,2022-09-09,2.0,41288.0,0.0,0.0
Nordhemsgatan 45A,Lägenhet,Linnéstaden,Göteborgs kommun,66.0,2.0,4197.0,5575000.0,2022-09-09,13.0,84470.0,0.0,0.0
Björklundavägen 8,Lägenhet,Nya Hovås,Göteborgs kommun,53.0,2.0,3121.0,2695000.0,2022-09-09,0.0,50849.0,0.0,0.0
Kransen 4E,Lägenhet,Strömmensberg,Göteborgs kommun,39.0,1.0,2590.0,2000000.0,2022-09-09,1.0,51282.0,0.0,0.0
Lotta svärdsgatan 1D,Lägenhet,Bellevue,Göteborgs kommun,41.4,2.0,2937.0,1700000.0,2022-09-09,-10.0,41063.0,0.0,0.0
Ängholmsgatan 11,Tomt,Långedrag,Göteborgs kommun,599.0,,,10700000.0,2022-09-09,0.0,17863.0,0.0,0.0
Brattåskärrsvägen 201,Lägenhet,Björkekärr,Göteborgs kommun,67.0,2.0,4042.0,2950000.0,2022-09-09,,44030.0,0.0,0.0
Vintergatan 5,Lägenhet,Sannegårdshamnen,Göteborgs kommun,109.0,5.0,3512.0,6925000.0,2022-09-09,-1.0,63532.0,0.0,0.0
Sandrevelsvägen 13,Lägenhet,Skogome,Göteborgs kommun,34.2,1.0,2449.0,1325000.0,2022-09-09,,38743.0,0.0,0.0
Björkdalen 2A,Villa,Göteborg,Göteborgs kommun,172.0,8.0,,1725000.0,2022-09-08,0.0,10029.0,949.0,0.0
Sveagatan 7,Lägenhet,Linné,Göteborgs kommun,44.4,1.0,1858.0,3050000.0,2022-09-08,5.0,68694.0,0.0,0.0
Ättehögsgatan 10B,Lägenhet,Munkebäck,Göteborgs kommun,52.0,2.0,3308.0,2650000.0,2022-09-08,11.0,50962.0,0.0,0.0
Lillekärr norra 12,Lägenhet,Hisings Kärra,Göteborgs kommun,30.9,1.0,2566.0,975000.0,2022-09-08,-2.0,31553.0,0.0,0.0
Övre Husargatan 11,Lägenhet,Linné/ Annedal,Göteborgs kommun,122.0,4.0,6743.0,5800000.0,2022-09-08,-6.0,47541.0,0.0,0.0
Zenitgatan 23,Radhus,Bergsjön,Göteborgs kommun,115.0,5.0,5160.0,2950000.0,2022-09-08,4.0,25652.0,0.0,0.0
Juteskärsgatan 58,Radhus,Önnered,Göteborgs kommun,162.0,7.0,,5850000.0,2022-09-08,-2.0,36111.0,271.8,5.0
Askim E-området nr 72,Fritidshus,Askim - GFA,Göteborgs kommun,35.0,2.0,,1800000.0,2022-09-08,6.0,51429.0,0.0,0.0
Föreningsgatan 16E,Lägenhet,Vasastaden,Göteborgs kommun,41.0,1.0,2724.0,2520000.0,2022-09-08,-6.0,61463.0,0.0,0.0
Virginsgatan 20B,Lägenhet,Kålltorp,Göteborgs kommun,37.0,2.0,2295.0,2410000.0,2022-09-08,5.0,65135.0,0.0,0.0
Övre Olskroksgatan 6,Lägenhet,Olskroken/Bagaregården,Göteborgs kommun,80.0,3.5,4354.0,3275000.0,2022-09-08,-4.0,40938.0,0.0,0.0
Nordhemsgatan 50,Lägenhet,Linnéstaden,Göteborgs kommun,75.0,3.0,3564.0,5190000.0,2022-09-08,0.0,69200.0,0.0,0.0
Hovås Allé 32,Lägenhet,Nya Hovås,Göteborgs kommun,79.0,3.0,4706.0,4350000.0,2022-09-08,-3.0,55063.0,0.0,0.0
Utlandagatan 27,Lägenhet,Johanneberg,Göteborgs kommun,95.0,4.0,6001.0,4750000.0,2022-09-08,-4.0,50000.0,0.0,0.0
Ernst torulfsgatan 11 D,Lägenhet,Munkebäck,Göteborgs kommun,53.0,2.0,3320.0,2200000.0,2022-09-08,11.0,41509.0,0.0,0.0
Fruktträdsgatan 4,Lägenhet,Centrala Hisingen,Göteborgs kommun,53.0,2.0,3705.0,2150000.0,2022-09-08,-6.0,40566.0,0.0,0.0
Gösta Andrées gata 6,Lägenhet,Torslanda - Amhult,Göteborgs kommun,80.5,3.0,5333.0,3800000.0,2022-09-08,,47205.0,0.0,0.0
Holmbacken 5,Lägenhet,Billdal Skintebo,Göteborgs kommun,85.0,3.0,5652.0,3200000.0,2022-09-08,-6.0,37647.0,0.0,0.0
Viktoriagatan 12,Lägenhet,Vasastaden,Göteborgs kommun,75.0,2.0,1879.0,4890000.0,2022-09-08,0.0,65200.0,0.0,0.0
Lillatorpsgatan 7A,Lägenhet,Örgryte,Göteborgs kommun,74.0,3.0,3821.0,4550000.0,2022-09-08,1.0,61486.0,0.0,0.0
Marklandsgatan 69,Lägenhet,Högsbo,Göteborgs kommun,69.0,3.0,4415.0,2350000.0,2022-09-08,-6.0,34058.0,0.0,0.0
Läsö fyrs väg 5A,Villa,Torslanda - Hjuvik,Göteborgs kommun,199.0,6.0,,9600000.0,2022-09-08,-9.0,48241.0,869.5,49.0
Bratteråsbacken 37,Lägenhet,Eriksberg,Göteborgs kommun,35.0,1.0,2742.0,1900000.0,2022-09-08,-5.0,54286.0,0.0,0.0
Arvesgärde 39,Lägenhet,Tuve,Göteborgs kommun,41.0,1.5,3166.0,1550000.0,2022-09-08,-3.0,37805.0,0.0,0.0
Tångenvägen 13,Radhus,Tuve,Göteborgs kommun,114.0,4.0,,3725000.0,2022-09-08,,32675.0,639.0,45.0
Göketorpsgatan 28B,Lägenhet,Örgryte,Göteborgs kommun,54.0,2.0,3615.0,2700000.0,2022-09-08,-3.0,50000.0,0.0,0.0
Fjällbogatan 51,Villa,Utby,Göteborgs kommun,75.0,6.0,,5000000.0,2022-09-08,-9.0,66667.0,869.9,72.0
Brunnehagen 42,Lägenhet,Tuve,Göteborgs kommun,61.5,2.0,4319.0,1900000.0,2022-09-08,3.0,30894.0,0.0,0.0
Rosmaringatan 16,Lägenhet,Angered - Lövgärdet,Göteborgs kommun,78.0,3.0,5234.0,1350000.0,2022-09-08,13.0,17308.0,0.0,0.0
Daniel Petterssons gata 4B,Lägenhet,Guldheden,Göteborgs kommun,64.0,3.0,4913.0,3195000.0,2022-09-08,0.0,49922.0,0.0,0.0
Brunnehagen 24,Lägenhet,Tuve,Göteborgs kommun,80.0,3.0,5240.0,2510000.0,2022-09-08,-2.0,31375.0,0.0,0.0
Batterigatan 5 B,Lägenhet,Gamlestaden,Göteborgs kommun,53.7,2.0,3205.0,2055000.0,2022-09-08,8.0,38268.0,0.0,0.0
Kvarnkullevägen 8F,Lägenhet,Torslanda - Centralt,Göteborgs kommun,61.0,2.0,3206.0,2200000.0,2022-09-08,10.0,36066.0,0.0,0.0
Kapplandsgatan 106,Lägenhet,Högsbo,Göteborgs kommun,66.0,3.0,3957.0,2150000.0,2022-09-08,-8.0,32576.0,0.0,0.0
Burgårdsgatan 14,Lägenhet,Lorensberg,Göteborgs kommun,80.0,2.0,3756.0,6650000.0,2022-09-08,-2.0,83125.0,0.0,0.0
Gitarrgatan 1,Lägenhet,Ruddalen,Göteborgs kommun,55.5,2.0,3962.0,2150000.0,2022-09-08,8.0,38739.0,0.0,0.0
Kungälvsgatan 8A,Lägenhet,Bagaregården,Göteborgs kommun,74.5,2.0,3604.0,4410000.0,2022-09-08,10.0,59195.0,0.0,0.0
Långströmsgatan 26,Lägenhet,Centrala Hisingen,Göteborgs kommun,83.0,4.0,4095.0,3175000.0,2022-09-07,6.0,38253.0,0.0,0.0
Arvesgärde 10,Lägenhet,Tuve,Göteborgs kommun,81.5,3.0,5377.0,2030000.0,2022-09-07,4.0,24908.0,0.0,0.0
Doktor Hjorts gata 8C,Lägenhet,Södra Guldheden,Göteborgs kommun,65.0,3.0,3973.0,3650000.0,2022-09-07,6.0,56154.0,0.0,0.0
Haga Kyrkogata 16B,Lägenhet,Vasastaden,Göteborgs kommun,76.0,3.5,2670.0,5700000.0,2022-09-07,12.0,75000.0,0.0,0.0
Karin boyes gata 4,Lägenhet,Prippska Tomten,Göteborgs kommun,73.2,2.0,4351.0,4150000.0,2022-09-07,4.0,56694.0,0.0,0.0
Doktor Lindhs gata 4,Lägenhet,Guldheden,Göteborgs kommun,111.5,5.0,5175.0,4495000.0,2022-09-07,0.0,40314.0,0.0,0.0
Patrullgatan 1C,Villa,Långedrag,Göteborgs kommun,143.0,5.0,,10850000.0,2022-09-07,-1.0,75874.0,1080.0,0.0
Distansgatan 59,Lägenhet,Flatås,Göteborgs kommun,76.5,3.0,3971.0,2675000.0,2022-09-07,3.0,34967.0,0.0,0.0
Uggleberget 24,Lägenhet,Nya Hovås,Göteborgs kommun,81.0,3.5,4434.0,5220000.0,2022-09-07,5.0,64444.0,0.0,0.0
Virvelvindsgatan 8,Lägenhet,Centrala Hisingen,Göteborgs kommun,66.0,3.0,4195.0,3050000.0,2022-09-07,-2.0,46212.0,0.0,0.0
Gröna Annas Gata 17,Lägenhet,Centrala Hisingen,Göteborgs kommun,45.0,2.0,2663.0,2500000.0,2022-09-07,0.0,55556.0,0.0,0.0
Ebbe Lieberathsgatan 16B,Lägenhet,Johanneberg - Almedal,Göteborgs kommun,34.0,1.0,2049.0,2430000.0,2022-09-07,2.0,71471.0,0.0,0.0
Volrat Thamsgatan 15,Lägenhet,Johanneberg,Göteborgs kommun,25.2,1.0,1777.0,2375000.0,2022-09-07,8.0,94246.0,0.0,0.0
Kvillegatan 37,Lägenhet,Centrala Hisingen,Göteborgs kommun,39.0,1.0,2104.0,1995000.0,2022-09-07,0.0,51154.0,0.0,0.0
Lilla Fågleviksvägen 15,Radhus,Torslanda - Lilleby,Göteborgs kommun,129.0,5.0,,5910000.0,2022-09-07,-8.0,45814.0,279.0,0.0
Östes gata 4,Radhus,Fiskebäck,Göteborgs kommun,108.0,4.0,,4610000.0,2022-09-07,-7.0,42685.0,223.4,0.0
Bäckegatan 32 B,Lägenhet,Gamla Masthugget,Göteborgs kommun,36.0,1.0,2541.0,2680000.0,2022-09-07,22.0,74444.0,0.0,0.0
Norra Skeppspromenaden 5,Lägenhet,Eriksberg,Göteborgs kommun,106.0,3.0,5940.0,5150000.0,2022-09-07,-6.0,48585.0,0.0,0.0
Ostindiefararen 55,Lägenhet,Eriksberg,Göteborgs kommun,107.0,4.0,5762.0,7500000.0,2022-09-07,,70093.0,0.0,0.0
Gibraltargatan 21B,Lägenhet,Johanneberg,Göteborgs kommun,45.5,2.0,2420.0,2950000.0,2022-09-07,6.0,64835.0,0.0,0.0
Famngatan 10 lägenhet 2263-1414,Lägenhet,Högsbo,Göteborgs kommun,29.0,1.0,1635.0,1725000.0,2022-09-07,0.0,59483.0,0.0,0.0
Famngatan 8,Lägenhet,Högsbo,Göteborgs kommun,29.0,1.0,1600.0,1775000.0,2022-09-07,0.0,61207.0,0.0,0.0
Famngatan 10 lägenhet 2223-1010,Lägenhet,Högsbo,Göteborgs kommun,29.0,1.0,1635.0,1550000.0,2022-09-07,0.0,53448.0,0.0,0.0
Bäckebolslyckan 33,Lägenhet,Hisings Backa,Göteborgs kommun,68.5,2.0,4667.0,2100000.0,2022-09-07,14.0,30657.0,0.0,0.0
Femrörsgatan 3,Radhus,Järnbrott,Göteborgs kommun,146.0,6.0,,4995000.0,2022-09-07,0.0,34212.0,187.7,0.0
Älvdansvägen 7,Villa,Askim,Göteborgs kommun,173.0,7.0,,7525000.0,2022-09-07,-6.0,43497.0,995.0,3.0
Erisgatan 7,Lägenhet,Bergsjön,Göteborgs kommun,48.0,2.0,2699.0,1600000.0,2022-09-07,0.0,33333.0,0.0,0.0
Salviatorget 2,Lägenhet,Gårdsten,Göteborgs kommun,32.0,1.0,2609.0,1000000.0,2022-09-07,1.0,31250.0,0.0,0.0
Storkgatan 4 C,Lägenhet,Bagaregården,Göteborgs kommun,56.6,2.0,3517.0,2550000.0,2022-09-07,-6.0,45053.0,0.0,0.0
Ljunggatan 22,Lägenhet,Landala Egnahem,Göteborgs kommun,93.0,4.0,5292.0,5950000.0,2022-09-07,8.0,63978.0,0.0,0.0
Hallegatan 15,Lägenhet,Göteborg,Göteborgs kommun,35.5,1.5,2903.0,1945000.0,2022-09-07,-2.0,54789.0,0.0,0.0
Utjordsgatan 22,Lägenhet,Kålltorp,Göteborgs kommun,42.0,3.0,3070.0,1995000.0,2022-09-07,0.0,47500.0,0.0,0.0
Norra Fiskebäcksvägen 184,Radhus,Fiskebäck,Göteborgs kommun,115.0,5.0,,5990000.0,2022-09-07,4.0,52087.0,170.8,0.0
Saltmätaregatan 2,Villa,Utby,Göteborgs kommun,59.0,5.0,,4000000.0,2022-09-07,-9.0,67797.0,551.1,53.0
Övralidsgatan 11,Lägenhet,Hisings Backa,Göteborgs kommun,91.0,4.0,6224.0,2100000.0,2022-09-07,-4.0,23077.0,0.0,0.0
Volrat Thamsgatan 7A,Lägenhet,Johanneberg,Göteborgs kommun,54.5,2.0,3349.0,3790000.0,2022-09-07,0.0,69541.0,0.0,0.0
Barytongatan 7,Lägenhet,Ruddalen,Göteborgs kommun,60.6,2.0,3942.0,2150000.0,2022-09-07,8.0,35479.0,0.0,0.0
Norra Fjädermolnsgatan 42,Lägenhet,Länsmansgården,Göteborgs kommun,94.0,4.0,5653.0,2950000.0,2022-09-07,-2.0,31383.0,0.0,0.0
Bomgatan 10A,Lägenhet,Johanneberg Almedal,Göteborgs kommun,66.0,3.0,3527.0,2800000.0,2022-09-07,-6.0,42424.0,0.0,0.0
Övralidsgatan 23,Lägenhet,Hisings Backa,Göteborgs kommun,38.0,1.0,3086.0,1335000.0,2022-09-07,1.0,35132.0,0.0,0.0
Persgatan 10B,Lägenhet,Lunden,Göteborgs kommun,53.0,2.0,3530.0,2430000.0,2022-09-07,6.0,45849.0,0.0,0.0
Ostindiefararen 19,Lägenhet,Eriksberg,Göteborgs kommun,47.5,2.0,2183.0,3150000.0,2022-09-07,-4.0,66316.0,0.0,0.0
Generalsgatan 4,Lägenhet,Kviberg,Göteborgs kommun,67.0,3.0,4603.0,3220000.0,2022-09-07,1.0,48060.0,0.0,0.0
Kapplandsgatan 48,Lägenhet,Högsbo,Göteborgs kommun,58.8,2.0,3627.0,2390000.0,2022-09-07,2.0,40646.0,0.0,0.0
Östra Eriksbergsgatan 87,Lägenhet,Eriksberg,Göteborgs kommun,46.0,1.5,2414.0,2700000.0,2022-09-07,,58696.0,0.0,0.0
Solventilsgatan 18,Lägenhet,Kvillebäcken,Göteborgs kommun,55.0,2.0,2733.0,2855000.0,2022-09-06,3.0,51909.0,0.0,0.0
Chalmersgatan 29A,Lägenhet,Lorensberg - Vasastaden,Göteborgs kommun,101.0,3.0,3981.0,6600000.0,2022-09-06,-5.0,65347.0,0.0,0.0
Doktor Forselius gata 26,Lägenhet,Guldheden,Göteborgs kommun,81.5,4.0,5231.0,3600000.0,2022-09-06,6.0,44172.0,0.0,0.0
Nilssonsberg 2,Lägenhet,Annedal,Göteborgs kommun,101.6,4.0,5364.0,5510000.0,2022-09-06,5.0,54232.0,0.0,0.0
Sonya Hedenbratts Gata 3,Lägenhet,Örgryte Torp,Göteborgs kommun,53.0,2.0,3246.0,4220000.0,2022-09-06,1.0,79623.0,0.0,0.0
Vidblicksgatan 9,Lägenhet,Nedre Johanneberg,Göteborgs kommun,42.0,1.0,2004.0,3100000.0,2022-09-06,7.0,73810.0,0.0,0.0
Doktor Allards Gata 12,Lägenhet,Guldheden,Göteborgs kommun,72.0,3.0,3986.0,5000000.0,2022-09-06,0.0,69444.0,0.0,0.0
Laboratoriegatan 24,Lägenhet,Örgryte - Skår,Göteborgs kommun,26.0,1.0,1976.0,1625000.0,2022-09-06,-9.0,62500.0,0.0,0.0
Björklundavägen 8,Lägenhet,Nya Hovås,Göteborgs kommun,53.0,2.0,3121.0,2600000.0,2022-09-06,-10.0,49057.0,0.0,0.0
Gamlestadstorget 33,Lägenhet,Gamlestaden,Göteborgs kommun,76.0,3.0,5117.0,3000000.0,2022-09-06,0.0,39474.0,0.0,0.0
Aschebergsgatan 35,Lägenhet,Vasastaden,Göteborgs kommun,53.0,2.0,1590.0,3150000.0,2022-09-06,-7.0,59434.0,0.0,0.0
Saltholmsgatan 23B,Lägenhet,Långedrag - Saltholmen,Göteborgs kommun,51.0,2.0,3403.0,3800000.0,2022-09-06,-5.0,74510.0,0.0,0.0
Fruktträdsgatan 11,Lägenhet,Hildedal,Göteborgs kommun,69.0,3.0,3726.0,3195000.0,2022-09-06,0.0,46304.0,0.0,0.0
Gamla Bällskärsgatan 14A,Villa,Hisings Backa - Bällskär,Göteborgs kommun,159.0,5.0,,5600000.0,2022-09-06,4.0,35220.0,1040.0,44.0
Kärrhöksgatan 5A,Lägenhet,Kålltorp,Göteborgs kommun,51.5,2.0,4114.0,2800000.0,2022-09-06,-2.0,54369.0,0.0,0.0
Sergelsgatan 4E,Lägenhet,Lunden,Göteborgs kommun,37.0,1.0,2855.0,2350000.0,2022-09-06,,63514.0,0.0,0.0
Värmlandsgatan 22,Lägenhet,Linné,Göteborgs kommun,100.0,3.0,6000.0,5800000.0,2022-09-06,1.0,58000.0,0.0,0.0
Morängatan 8,Lägenhet,Strömmensberg,Göteborgs kommun,37.0,1.0,2495.0,2010000.0,2022-09-06,6.0,54324.0,0.0,0.0
